Orthogroup	DANA.longest_only	DSUZ.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC108019552|XP_036669814.1|DSUZ
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC6502666|XP_032305659.1|DANA	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC108016521|XP_036671132.1|DSUZ, LOC108017700|XP_016940298.1|DSUZ, LOC108016425|XP_016938565.2|DSUZ, LOC108020024|XP_036672415.1|DSUZ
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC108012139|XP_036675579.1|DSUZ
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC118878061|XP_036675143.1|DSUZ
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA	LOC108009933|XP_016930164.1|DSUZ
OG0000002	LOC6502757|XP_014760373.1|DANA, LOC6505775|XP_001965022.2|DANA	LOC108016449|XP_016938590.2|DSUZ
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC108009013|XP_016928477.1|DSUZ
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC108008945|XP_016928345.1|DSUZ
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC108008947|XP_016928347.2|DSUZ
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ
