Orthogroup	DANA.longest_only	BCOP.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA, LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA, LOC6494335|XP_001960511.2|DANA, LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA, LOC26515012|XP_032305331.1|DANA, LOC116656224|XP_032311586.1|DANA, LOC6505938|XP_014760853.1|DANA, LOC26515148|XP_014760938.1|DANA, LOC6503296|XP_001967564.2|DANA, LOC26514039|XP_032307416.1|DANA, LOC6502666|XP_032305659.1|DANA, LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA, LOC26514259|XP_032305722.1|DANA, LOC6500855|XP_032305607.1|DANA, LOC6497917|XP_001961708.2|DANA, LOC26514098|XP_032306915.1|DANA, LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA, LOC6499064|XP_032305682.1|DANA, LOC6498897|XP_032305704.1|DANA, LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA, LOC6498894|XP_001955724.2|DANA, LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA, LOC6497530|XP_001961898.2|DANA, LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA, LOC6496184|XP_032306972.1|DANA	LOC119067394|XP_037026221.1|BCOP
OG0000002	LOC6502757|XP_014760373.1|DANA, LOC6505775|XP_001965022.2|DANA, LOC116656048|XP_032311202.1|DANA	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC119076785|XP_037039644.1|BCOP
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC6506066|XP_032309425.1|DANA	LOC119075400|XP_037037739.1|BCOP
OG0000006	LOC6503243|XP_001967890.1|DANA	LOC119070780|XP_037031154.1|BCOP
OG0000007	LOC6506540|XP_001957688.2|DANA, LOC6493534|XP_001957954.1|DANA, LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA, LOC6493535|XP_001957955.2|DANA, LOC6504215|XP_001965139.1|DANA, LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA, LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA, LOC6504214|XP_001965140.1|DANA, LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA, LOC6493536|XP_001957956.2|DANA, LOC6506391|XP_001957958.1|DANA	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC119077089|XP_037040143.1|BCOP
