Orthogroup	DANA.longest_only	DERE.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC26515012|XP_032305331.1|DANA	LOC6554922|XP_001981127.2|DERE
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC6541136|XP_001969303.1|DERE, LOC6554482|XP_001981927.3|DERE, LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE, LOC6548870|XP_001975456.3|DERE, LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC26526070|XP_026831673.1|DERE
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC6551915|XP_001978850.1|DERE
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC6494605|XP_001960022.3|DANA	LOC6547452|XP_001974865.2|DERE
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC6549103|XP_001975568.1|DERE
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC6548983|XP_001975566.1|DERE
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC6543237|XP_001970449.1|DERE
OG0000006	LOC6498692|XP_001967675.1|DANA	LOC113564783|XP_026839415.1|DERE
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC116655713|XP_032309471.1|DANA, LOC116655984|XP_032310868.1|DANA, LOC6504947|XP_001964808.1|DANA, LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC6493532|XP_001957952.1|DANA	LOC6545296|XP_001972054.1|DERE
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA	LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC6545660|XP_001971664.1|DERE
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC6540935|XP_001968733.1|DERE
