Orthogroup	DANA.longest_only	DMEL.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	CG33700|NP_001027121.3|DMEL
OG0000000	LOC6496234|XP_001960509.1|DANA	CG33679|NP_001027273.1|DMEL
OG0000000	LOC6494335|XP_001960511.2|DANA	CG33775|NP_001027410.1|DMEL
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC6503296|XP_001967564.2|DANA	CG33773|NP_001027213.1|DMEL
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL, CG33798|NP_001027414.1|DMEL, CG33463|NP_995846.2|DMEL, CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL
OG0000000	LOC6500855|XP_032305607.1|DANA	CG33721|NP_001036743.1|DMEL
OG0000000	LOC6497917|XP_001961708.2|DANA	CG33928|NP_001027276.1|DMEL
OG0000000	LOC6494112|XP_001960945.2|DANA	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC6499064|XP_032305682.1|DANA	CG14518|NP_651653.2|DMEL
OG0000000	LOC6498897|XP_032305704.1|DANA	CG33927|NP_001027147.1|DMEL
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	CG33725|NP_001027125.1|DMEL
OG0000002	LOC6494276|XP_032306810.1|DANA	CG5550|NP_001246376.1|DMEL
OG0000002	LOC6496130|XP_001960293.1|DANA	CG30281|NP_726164.1|DMEL
OG0000002	LOC6502577|XP_001960292.2|DANA	CG30280|NP_611641.6|DMEL
OG0000003	LOC6495486|XP_001958950.1|DANA	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC6495485|XP_001958948.1|DANA	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC6495484|XP_001958947.1|DANA	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC6496624|XP_001961285.3|DANA	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC6495150|XP_014763173.1|DANA	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC6495217|XP_001958825.1|DANA	Cyp6a13|NP_610390.1|DMEL
OG0000006	LOC116655429|XP_032309218.1|DANA, LOC116656005|XP_032310965.1|DANA, LOC6504886|XP_001964818.1|DANA	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC6506066|XP_032309425.1|DANA	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000007	LOC6493534|XP_001957954.1|DANA	Jon65Aiv|NP_648012.1|DMEL
