Orthogroup	DANA.longest_only	DGUA.longest_only
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC26514039|XP_032307416.1|DANA	LOC117578480|XP_034119907.1|DGUA
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC117583194|XP_034127289.1|DGUA
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC26514098|XP_032306915.1|DANA	LOC117592522|XP_034142264.1|DGUA
OG0000000	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA	LOC117585432|XP_034130797.1|DGUA
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA, LOC6497530|XP_001961898.2|DANA	LOC117592344|XP_034141927.1|DGUA
OG0000000	LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA	LOC117586464|XP_034132421.1|DGUA
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA	LOC117578777|XP_034120374.1|DGUA
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC117583987|XP_034128590.1|DGUA
OG0000004	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA	LOC117591774|XP_034140974.1|DGUA
OG0000005	LOC6505175|XP_001964801.1|DANA	LOC117591507|XP_034140693.1|DGUA
OG0000005	LOC6501749|XP_001967750.2|DANA	LOC117591790|XP_034140985.1|DGUA
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC116655713|XP_032309471.1|DANA, LOC116655984|XP_032310868.1|DANA, LOC6504947|XP_001964808.1|DANA, LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC117586140|XP_034131924.1|DGUA
