Orthogroup	DANA.longest_only	DSUB.longest_only
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC26515012|XP_032305331.1|DANA	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC26514039|XP_032307416.1|DANA	LOC117890046|XP_034650557.1|DSUB, LOC117892618|XP_034654860.1|DSUB, LOC117892700|XP_034655002.1|DSUB, LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB
OG0000000	LOC6502666|XP_032305659.1|DANA	LOC117892569|XP_034654782.1|DSUB
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC26514098|XP_032306915.1|DANA	LOC117892680|XP_034654976.1|DSUB
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC117897324|XP_034661985.1|DSUB
OG0000000	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA	LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB
OG0000000	LOC6497530|XP_001961898.2|DANA	LOC117898840|XP_034664406.1|DSUB, LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB, LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB, LOC117898833|XP_034664391.1|DSUB
OG0000000	LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA	LOC117898297|XP_034663459.1|DSUB
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA	LOC117891710|XP_034653195.1|DSUB
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC117890982|XP_034652022.1|DSUB
OG0000005	LOC6503374|XP_001967857.2|DANA, LOC116655708|XP_032309465.1|DANA, LOC6496741|XP_032309466.1|DANA, LOC6503247|XP_001967891.1|DANA, LOC6505250|XP_001964819.2|DANA, LOC6498694|XP_001967676.1|DANA, LOC116654465|XP_001964814.3|DANA, LOC6505185|XP_032310967.1|DANA, LOC6501721|XP_001967821.1|DANA, LOC6505175|XP_001964801.1|DANA, LOC6506069|XP_001967796.1|DANA, LOC116655707|XP_032309463.1|DANA, LOC116655987|XP_032310872.1|DANA, LOC6505228|XP_032310874.1|DANA, LOC6505206|XP_001964809.1|DANA, LOC6502041|XP_032310871.1|DANA, LOC116655988|XP_032310873.1|DANA, LOC116655989|XP_032310875.1|DANA, LOC116655712|XP_032309470.1|DANA, LOC116655430|XP_032309219.1|DANA	LOC117901442|XP_034668076.1|DSUB
OG0000005	LOC6501749|XP_001967750.2|DANA	LOC117900068|XP_034666166.1|DSUB
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC117901441|XP_034668075.1|DSUB
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC117894709|XP_034657781.1|DSUB
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC117894591|XP_034657631.1|DSUB
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC6500524|XP_001953390.1|DANA	LOC117896426|XP_034660636.1|DSUB
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC117892374|XP_034654475.1|DSUB
