Orthogroup	DANA.longest_only	DYAK.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC26515012|XP_032305331.1|DANA	LOC26534826|XP_015049134.2|DYAK
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC6527857|XP_002088929.1|DYAK, LOC26536234|XP_015048941.1|DYAK, LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK, LOC6531513|XP_002092312.3|DYAK, LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC6533890|XP_002094590.1|DYAK
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC6530518|XP_002091433.1|DYAK
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC6495216|XP_001958826.1|DANA	LOC120320435|XP_002089650.1|DYAK
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC6540563|XP_002087349.3|DYAK, LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC6506066|XP_032309425.1|DANA	LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
