Orthogroup	DANA.longest_only	DHYD.longest_only
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA, LOC6499064|XP_032305682.1|DANA	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC6494605|XP_001960022.3|DANA	LOC111597303|XP_023167695.2|DHYD
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC115483813|XP_030082015.1|DHYD
OG0000005	LOC6506069|XP_001967796.1|DANA	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC6505228|XP_032310874.1|DANA	LOC115483284|XP_030080487.1|DHYD
OG0000005	LOC6505206|XP_001964809.1|DANA	LOC115482890|XP_030078999.1|DHYD
OG0000005	LOC116655989|XP_032310875.1|DANA	LOC115482874|XP_030078984.1|DHYD
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC26515522|XP_032311285.1|DANA	LOC115483252|XP_030080457.1|DHYD
OG0000006	LOC116655706|XP_032309462.1|DANA	LOC115482873|XP_030078983.1|DHYD
OG0000006	LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC6500231|XP_001952977.1|DANA	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD
OG0000010	LOC116656007|XP_032310968.1|DANA	LOC115483262|XP_030080467.1|DHYD
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC6495181|XP_001958900.1|DANA	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC6495184|XP_001958896.1|DANA	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
