Orthogroup	DANA.longest_only	DALB.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC26515012|XP_032305331.1|DANA, LOC116656224|XP_032311586.1|DANA, LOC6505938|XP_014760853.1|DANA, LOC26515148|XP_014760938.1|DANA, LOC6503296|XP_001967564.2|DANA, LOC26514039|XP_032307416.1|DANA, LOC6502666|XP_032305659.1|DANA, LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA, LOC26514259|XP_032305722.1|DANA, LOC6500855|XP_032305607.1|DANA, LOC6497917|XP_001961708.2|DANA, LOC26514098|XP_032306915.1|DANA	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC117566658|XP_034102093.1|DALB
OG0000000	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA, LOC6498894|XP_001955724.2|DANA, LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA, LOC6497530|XP_001961898.2|DANA, LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA	LOC117570317|XP_034107750.1|DALB
OG0000002	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC117571537|XP_034109617.1|DALB
