Orthogroup	DANA.longest_only	AAEG.longest_only
OG0000004	LOC116655976|XP_032310860.1|DANA, LOC26514479|XP_014758928.2|DANA, LOC116655701|XP_032309456.1|DANA, LOC116655709|XP_032309467.1|DANA, LOC116655975|XP_032310859.1|DANA, LOC6501745|XP_001967751.3|DANA, LOC6502880|XP_001967788.3|DANA, LOC6498691|XP_001967677.3|DANA, LOC116655427|XP_032309213.1|DANA, LOC116655702|XP_032309457.1|DANA, LOC6506068|XP_001967797.3|DANA, LOC6504968|XP_001964805.3|DANA, LOC116655977|XP_032310861.1|DANA, LOC116655978|XP_032310862.1|DANA, LOC116655704|XP_032309459.1|DANA, LOC6504908|XP_001964815.2|DANA, LOC6504940|XP_001964810.3|DANA, LOC116655703|XP_032309458.1|DANA, LOC6504875|XP_001964820.3|DANA, LOC6502394|XP_032309212.1|DANA, LOC6504999|XP_001964802.3|DANA	LOC110678209|XP_021706524.1|AAEG
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC110678308|XP_021706672.1|AAEG, LOC110678836|XP_021708006.1|AAEG
OG0000006	LOC6504886|XP_001964818.1|DANA	LOC110679779|XP_021711202.1|AAEG
OG0000006	LOC6506066|XP_032309425.1|DANA	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG
OG0000006	LOC6503243|XP_001967890.1|DANA	LOC110679782|XP_021711206.1|AAEG
OG0000007	LOC6506540|XP_001957688.2|DANA, LOC6493534|XP_001957954.1|DANA, LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA, LOC6493535|XP_001957955.2|DANA, LOC6504215|XP_001965139.1|DANA, LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA, LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA, LOC6504214|XP_001965140.1|DANA, LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA, LOC6493536|XP_001957956.2|DANA, LOC6506391|XP_001957958.1|DANA	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC5578716|XP_001664018.2|AAEG
