Orthogroup	DANA.longest_only	DMIR.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC26515012|XP_032305331.1|DANA	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC6502666|XP_032305659.1|DANA	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC26514098|XP_032306915.1|DANA	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC108154608|XP_017140414.2|DMIR
OG0000000	LOC6497530|XP_001961898.2|DANA	LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR, LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR, LOC108153868|XP_017139455.1|DMIR
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC6502757|XP_014760373.1|DANA	LOC117188692|XP_033248809.1|DMIR
OG0000002	LOC116656048|XP_032311202.1|DANA	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC108161412|XP_017151153.2|DMIR
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000005	LOC6505228|XP_032310874.1|DANA	LOC117187309|XP_033245571.1|DMIR
OG0000005	LOC116655430|XP_032309219.1|DANA	LOC108156706|XP_017143843.1|DMIR
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC26515522|XP_032311285.1|DANA	LOC117187300|XP_033245561.1|DMIR
OG0000006	LOC6504947|XP_001964808.1|DANA, LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC108165521|XP_017157067.1|DMIR
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC108164169|XP_017155268.2|DMIR
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC108152483|XP_017137346.1|DMIR
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC6500524|XP_001953390.1|DANA	LOC108154377|XP_017140130.1|DMIR
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC108158336|XP_017146065.1|DMIR
