Orthogroup	DANA.longest_only	DEUG.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC26515012|XP_032305331.1|DANA	LOC108104209|XP_017065641.1|DEUG
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG, LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG, LOC108112677|XP_017078310.1|DEUG, LOC108108192|XP_017071633.1|DEUG
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC108113484|XP_017079558.1|DEUG
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC108114927|XP_017081602.1|DEUG
