Orthogroup	DVIR.longest_only	Other
OG0000014	LOC116652015|XP_032295550.1|DVIR	LOC108118106|XP_017086149.1|DEUG
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC6506166|XP_001958429.1|DANA
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC108096106|XP_017052971.1|DFIC
OG0000031	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR	LOC119766071|XP_038106378.1|CQUI
OG0000069	LOC6627146|XP_002048958.2|DVIR	LOC117188366|XP_033247991.1|DMIR
OG0000071	LOC6623560|XP_002048623.2|DVIR	LOC118508074|XP_035903431.1|ASTE
OG0000071	LOC6623560|XP_002048623.2|DVIR	LOC5565474|XP_001649820.2|AAEG
OG0000073	LOC6634684|XP_032289237.1|DVIR	LOC120424940|XP_039445180.1|CPIP
OG0000120	LOC6634529|XP_002057958.1|DVIR	LOC6496786|XP_001965770.1|DANA
OG0000171	LOC6634090|XP_002057510.3|DVIR	LOC115268592|XP_029732566.1|AEAL
OG0000255	LOC6626368|XP_015029462.2|DVIR, LOC6626370|XP_032292972.1|DVIR	LOC5578920|XP_001657206.1|AAEG
OG0000272	LOC6622416|XP_032291254.1|DVIR	CCAP1982_LOCUS12064|CAD7003624.1|CCAP
OG0000301	LOC6623814|XP_002047905.1|DVIR	LOC118456217|XP_035772695.1|AALB
OG0000456	LOC6636214|XP_002059715.2|DVIR	LOC108070562|XP_017016589.1|DKIK
OG0000585	LOC116650607|XP_032290606.1|DVIR, LOC116650610|XP_032290624.1|DVIR	LOC6544395|XP_001971696.3|DERE
OG0000639	LOC6623349|XP_015030605.1|DVIR	LOC119766935|XP_038109439.1|CQUI
OG0000740	LOC26531539|XP_032289308.1|DVIR	CCAP1982_LOCUS7812|CAD6999283.1|CCAP
OG0000740	LOC26531539|XP_032289308.1|DVIR	LOC117149955|XP_033172745.1|DMAU
OG0000740	LOC26531539|XP_032289308.1|DVIR	LOC108034609|XP_016965460.1|DBIA
OG0000740	LOC26531539|XP_032289308.1|DVIR	LOC111602803|XP_030080183.1|DHYD
OG0000843	LOC6625440|XP_002049976.1|DVIR	LOC6047696|XP_038104663.1|CQUI
OG0000964	LOC6625956|XP_002049587.1|DVIR	LOC6035895|XP_038106137.1|CQUI
OG0000997	LOC6626261|XP_002048774.3|DVIR, LOC6626262|XP_032291610.1|DVIR	LOC115269910|XP_029734571.1|AEAL
OG0000997	LOC6626262|XP_032291610.1|DVIR	LOC6495780|XP_014763490.2|DANA
OG0000997	LOC6626262|XP_032291610.1|DVIR	LOC108029851|XP_016957829.1|DBIA
OG0001050	LOC6622895|XP_002046500.2|DVIR	LOC119770659|XP_038121888.1|CQUI
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC110185938|XP_020810612.1|DSER
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC4816659|XP_033235894.1|DPSE
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC108164002|XP_033249294.1|DMIR
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC6598086|XP_026843510.1|DPER
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC115626021|XP_030377129.1|SLEB
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC108601054|XP_033150057.1|DBUS
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC115769183|XP_030569747.1|DNOV
OG0001094	LOC6634092|XP_032289019.1|DVIR	CCAP1982_LOCUS6594|CAD6997977.1|CCAP
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC120767210|XP_039948952.1|BTRY
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC117900968|XP_034667440.1|DSUB
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC117583986|XP_034128584.1|DGUA
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC108105740|XP_017067943.1|DEUG
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC108138737|XP_017116619.1|DELE
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC6528208|XP_039226430.1|DYAK
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC108033427|XP_016963239.1|DBIA
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC108090059|XP_017044056.1|DFIC
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC108074385|XP_017021900.1|DKIK
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC6497109|XP_001962739.1|DANA
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC111600341|XP_023172173.2|DHYD
OG0001094	LOC6634092|XP_032289019.1|DVIR	LOC111600341|XP_023172173.2|DHYD
OG0001105	LOC6634545|XP_002058289.1|DVIR	LOC108105089|XP_017067005.1|DEUG
OG0001105	LOC6634545|XP_002058289.1|DVIR	LOC108097794|XP_017055814.1|DFIC
OG0001336	LOC6628276|XP_015028197.1|DVIR	LOC110677887|XP_021705362.1|AAEG
OG0001424	LOC6630143|XP_002053626.1|DVIR	LOC6553480|XP_001980274.1|DERE
OG0001491	LOC6628875|XP_002052341.2|DVIR, LOC6628874|XP_002052340.1|DVIR	LOC26513957|XP_014762279.1|DANA
OG0001542	LOC6632523|XP_015025960.1|DVIR	LOC108109665|XP_017073775.1|DEUG
OG0001568	LOC6630739|XP_032294785.1|DVIR	LOC117188390|XP_033248086.1|DMIR
OG0001573	LOC6636548|XP_032291461.1|DVIR	LOC115483418|XP_030081175.1|DHYD
OG0001573	LOC6636548|XP_032291461.1|DVIR	LOC117572790|XP_034111784.1|DALB
OG0001598	LOC6634131|XP_002057519.1|DVIR	LOC115257068|XP_029712222.1|AEAL, LOC115259388|XP_029715798.1|AEAL
OG0001678	LOC6631416|XP_032295640.1|DVIR	LOC115764239|XP_030563016.1|DNOV
OG0001724	LOC6624772|XP_032291921.1|DVIR	LOC120431894|XP_039452957.1|CPIP
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC6495320|XP_032307199.1|DANA
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC108090798|XP_017045135.1|DFIC
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC108141334|XP_017120106.1|DELE
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC110189309|XP_020815042.1|DSER
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC108009122|XP_016928699.1|DSUZ
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC119550916|XP_037715858.1|DSUP
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC108104475|XP_017066044.1|DEUG
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC108036328|XP_016967830.1|DBIA
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC120443882|XP_039479225.1|DSAN
OG0001765	LOC116649770|XP_032290313.1|DVIR	brp|NP_001246228.1|DMEL
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC6542673|XP_026835300.1|DERE
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC6608363|XP_032572939.1|DSEC
OG0001765	LOC116649770|XP_032290313.1|DVIR	LOC6739367|XP_039148519.1|DSIM
