Orthogroup	DSAN.longest_only	Other
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC115759945|XP_030556945.1|DNOV
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC26532710|XP_015035140.1|DPSE
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC6728075|XP_016034694.1|DSIM
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC119656847|XP_037919426.1|HILL
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC108101428|XP_017061247.1|DFIC
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC6048602|XP_038111058.1|CQUI
OG0000010	LOC120457970|XP_039501405.1|DSAN	LOC117187316|XP_033245580.1|DMIR
OG0000047	LOC120447165|XP_039484555.1|DSAN	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA
OG0000047	LOC120447165|XP_039484555.1|DSAN	LOC117194873|XP_033255228.1|DMIR, LOC117190172|XP_033251125.1|DMIR, LOC117192459|XP_033253049.1|DMIR, LOC117193977|XP_033254515.1|DMIR, LOC117193990|XP_033254522.1|DMIR, LOC117191230|XP_033252040.1|DMIR
OG0000071	LOC120448314|XP_039486195.1|DSAN	LOC118508074|XP_035903431.1|ASTE
OG0000071	LOC120448314|XP_039486195.1|DSAN	LOC5565474|XP_001649820.2|AAEG
OG0000073	LOC120456580|XP_039499414.1|DSAN	LOC120424940|XP_039445180.1|CPIP
OG0000120	LOC120457201|XP_039500489.1|DSAN	LOC6496786|XP_001965770.1|DANA
OG0000142	LOC120447845|XP_039485386.1|DSAN	LOC115760359|XP_030557508.1|DNOV
OG0000157	LOC120447552|XP_039484939.1|DSAN	LOC117193637|XP_033254273.1|DMIR
OG0000171	LOC120445878|XP_039482751.1|DSAN	LOC115268592|XP_029732566.1|AEAL
OG0000239	LOC120452403|XP_039492554.1|DSAN	LOC115482805|XP_030078778.1|DHYD
OG0000255	LOC120446869|XP_039484008.1|DSAN	LOC5578920|XP_001657206.1|AAEG
OG0000270	LOC120446730|XP_039483781.1|DSAN	LOC119550202|XP_037714679.1|DSUP
OG0000301	LOC120454893|XP_039496470.1|DSAN	LOC118456217|XP_035772695.1|AALB
OG0000639	LOC120450645|XP_039489733.1|DSAN	LOC119766935|XP_038109439.1|CQUI
OG0000843	LOC120444653|XP_039480427.1|DSAN	LOC6047696|XP_038104663.1|CQUI
OG0000939	LOC120443996|XP_039479408.1|DSAN	LOC117893086|XP_034655403.1|DSUB
OG0000939	LOC120443996|XP_039479408.1|DSAN	LOC6901920|XP_033240727.1|DPSE
OG0000964	LOC120446394|XP_039483265.1|DSAN	LOC6035895|XP_038106137.1|CQUI
OG0000997	LOC120446528|XP_039483474.1|DSAN	LOC115269910|XP_029734571.1|AEAL
OG0001050	LOC120449866|XP_039488460.1|DSAN	LOC119770659|XP_038121888.1|CQUI
OG0001166	LOC120447831|XP_039485352.1|DSAN	LOC6903282|XP_033235587.1|DPSE
OG0001233	LOC120458719|XP_039502402.1|DSAN, LOC120458810|XP_039502542.1|DSAN	LOC119562428|XP_037731543.1|DSUP, LOC119562434|XP_037731547.1|DSUP, LOC119562433|XP_037731546.1|DSUP
OG0001308	LOC120454986|XP_039496712.1|DSAN	LOC6724945|XP_016037809.1|DSIM
OG0001308	LOC120454986|XP_039496712.1|DSAN	LOC117147216|XP_033169921.1|DMAU
