Orthogroup	DALB.longest_only	Other
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC6506166|XP_001958429.1|DANA
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	LOC119766071|XP_038106378.1|CQUI
OG0000069	LOC117568075|XP_034104335.1|DALB	LOC117188366|XP_033247991.1|DMIR
OG0000071	LOC117572590|XP_034111368.1|DALB	LOC118508074|XP_035903431.1|ASTE
OG0000071	LOC117572590|XP_034111368.1|DALB	LOC5565474|XP_001649820.2|AAEG
OG0000073	LOC117576610|XP_034117406.1|DALB	LOC120424940|XP_039445180.1|CPIP
OG0000120	LOC117578153|XP_034119263.1|DALB	LOC6496786|XP_001965770.1|DANA
OG0000171	LOC117578387|XP_034119714.1|DALB	LOC115268592|XP_029732566.1|AEAL
OG0000255	LOC117569643|XP_034106773.1|DALB	LOC5578920|XP_001657206.1|AAEG
OG0000442	LOC117568984|XP_034105842.1|DALB	LOC108153453|XP_033242971.1|DMIR
OG0000639	LOC117572595|XP_034111394.1|DALB	LOC119766935|XP_038109439.1|CQUI
OG0000843	LOC117567698|XP_034103720.1|DALB	LOC6047696|XP_038104663.1|CQUI
OG0000964	LOC117570877|XP_034108661.1|DALB	LOC6035895|XP_038106137.1|CQUI
OG0000997	LOC117570903|XP_034108698.1|DALB	LOC115269910|XP_029734571.1|AEAL
OG0001050	LOC117572583|XP_034111358.1|DALB	LOC119770659|XP_038121888.1|CQUI
OG0001107	LOC117565098|XP_034099948.1|DALB	LOC117190267|XP_033251220.1|DMIR, LOC117195198|XP_033255731.1|DMIR, LOC117192268|XP_033252813.1|DMIR, LOC117192239|XP_033252795.1|DMIR
OG0001166	LOC117570607|XP_034108242.1|DALB	LOC6903282|XP_033235587.1|DPSE
OG0001481	LOC117565786|XP_034100953.1|DALB	LOC108086720|XP_017039271.1|DFIC
OG0001481	LOC117565786|XP_034100953.1|DALB	LOC110680971|XP_021712436.1|AAEG
OG0001491	LOC117565855|XP_034101072.1|DALB	LOC26513957|XP_014762279.1|DANA
OG0001568	LOC117576252|XP_034116770.1|DALB	LOC117188390|XP_033248086.1|DMIR
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC6736820|XP_016030472.1|DSIM
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC6610826|XP_002035392.2|DSEC
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC117138952|XP_033156883.1|DMAU
OG0001573	LOC117572790|XP_034111784.1|DALB	RhoGEF64C|NP_729032.1|DMEL
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC6533011|XP_015049767.1|DYAK
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC120448051|XP_039485734.1|DSAN
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC6544082|XP_001971939.1|DERE
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC108107794|XP_017070994.1|DEUG
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC108035189|XP_016966163.1|DBIA
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC119552851|XP_037718653.1|DSUP
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC108010949|XP_036671242.1|DSUZ
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC108096253|XP_017053197.1|DFIC
OG0001573	LOC117572790|XP_034111784.1|DALB	LOC108145946|XP_017127143.1|DELE
