Orthogroup	AALB.longest_only	Other
OG0000006	LOC118465084|XP_035788881.1|AALB	LOC118877312|XP_036671383.1|DSUZ
OG0000006	LOC118465084|XP_035788881.1|AALB	LOC6507218|XP_001956446.1|DANA
OG0000010	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB	LOC120457970|XP_039501405.1|DSAN
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC108139473|XP_017117691.1|DELE, LOC108139427|XP_017117642.1|DELE, LOC108139437|XP_017117652.1|DELE, LOC108136176|XP_017112666.1|DELE
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC120778835|XP_039966788.1|BTRY, LOC120778837|XP_039966791.1|BTRY, LOC120778836|XP_039966789.1|BTRY
OG0000272	LOC118459704|XP_035779240.1|AALB	CCAP1982_LOCUS12064|CAD7003624.1|CCAP
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC115770453|XP_030571591.1|DNOV
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC6623814|XP_002047905.1|DVIR
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC111599784|XP_023171324.2|DHYD
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108607337|XP_017853509.1|DBUS
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC6495047|XP_001953453.3|DANA
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108095034|XP_017051405.1|DFIC
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC120779661|XP_039967950.1|BTRY
OG0000301	LOC118456217|XP_035772695.1|AALB	CCAP1982_LOCUS10127|CAD7001633.1|CCAP
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC120322175|XP_039233165.1|DYAK, LOC6523737|XP_002099612.1|DYAK
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108082627|XP_017033598.1|DKIK
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC110185425|XP_020809898.1|DSER
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC27207385|XP_016037317.1|DSIM
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC117146312|XP_033168252.1|DMAU
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC6619473|XP_002043688.1|DSEC
OG0000301	LOC118456217|XP_035772695.1|AALB	Gat|NP_651930.2|DMEL
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC120454893|XP_039496470.1|DSAN
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC6555853|XP_001982716.1|DERE
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108145309|XP_017126142.1|DELE
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC119557972|XP_037727014.1|DSUP
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108020419|XP_016944213.1|DSUZ
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108036021|XP_016967436.1|DBIA
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108102385|XP_017062811.1|DEUG
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC117902948|XP_034670460.1|DSUB
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC117590674|XP_034139441.1|DGUA
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC6601991|XP_002027068.1|DPER
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC117184349|XP_033237256.1|DPSE
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC108164510|XP_017155780.1|DMIR
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC115627835|XP_030379540.1|SLEB
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC119660745|XP_037925398.1|HILL
OG0000301	LOC118456217|XP_035772695.1|AALB	LOC119074149|XP_037036044.1|BCOP
OG0000301	LOC118456217|XP_035772695.1|AALB	CCAP1982_LOCUS10126|CAD7001632.1|CCAP
OG0000301	LOC118456217|XP_035772695.1|AALB	CCAP1982_LOCUS10126|CAD7001632.1|CCAP
OG0000310	LOC118461205|XP_035782150.1|AALB	LOC115631869|XP_030384577.1|SLEB, LOC115631850|XP_030384554.1|SLEB
OG0000326	LOC118462458|XP_035784022.1|AALB, LOC118462466|XP_035784044.1|AALB	LOC115770891|XP_030572187.1|DNOV, LOC115770885|XP_030572180.1|DNOV, LOC115770889|XP_030572183.1|DNOV, LOC115770888|XP_030572182.1|DNOV, LOC115770890|XP_030572186.1|DNOV
OG0000363	LOC118466835|XP_035792526.1|AALB	LOC110187889|XP_020813037.1|DSER, LOC110189911|XP_020815836.1|DSER
OG0000363	LOC118466835|XP_035792526.1|AALB	LOC115771138|XP_030572569.1|DNOV
OG0000364	LOC118464621|XP_035787960.1|AALB	LOC111603056|XP_030081833.1|DHYD
OG0000384	LOC118457748|XP_035775453.1|AALB	LOC111605413|XP_023179686.2|DHYD
OG0000384	LOC118457748|XP_035775453.1|AALB	LOC117191486|XP_033252231.1|DMIR
OG0000384	LOC118457748|XP_035775453.1|AALB	LOC6546858|XP_026836613.1|DERE
OG0000916	LOC118458441|XP_035776810.1|AALB, LOC118458711|XP_035777344.1|AALB, LOC118456560|XP_035773322.1|AALB, LOC118468342|XP_035794994.1|AALB, LOC118459910|XP_035779638.1|AALB, LOC118458633|XP_035777215.1|AALB, LOC118456982|XP_035774080.1|AALB, LOC118460472|XP_035780690.1|AALB, LOC118459193|XP_035778247.1|AALB, LOC118468359|XP_035795012.1|AALB	LOC108138705|XP_017116543.1|DELE
OG0000935	LOC118457386|XP_035774818.1|AALB, LOC118459374|XP_035778563.1|AALB	LOC115628826|XP_030380918.1|SLEB
OG0001029	LOC118459516|XP_035778851.1|AALB	LOC108085869|XP_017038119.1|DKIK
OG0001119	LOC118462827|XP_035784749.1|AALB	CCAP1982_LOCUS4134|CAD6995417.1|CCAP
OG0001385	LOC118459840|XP_035779500.1|AALB	CCAP1982_LOCUS14735|CAD7006415.1|CCAP
OG0001385	LOC118459840|XP_035779500.1|AALB	LOC115631958|XP_030384680.1|SLEB
OG0001385	LOC118458596|XP_035777159.1|AALB	CCAP1982_LOCUS6307|CAD6997676.1|CCAP
OG0001459	LOC118462862|XP_035784812.1|AALB	CCAP1982_LOCUS12627|CAD7004208.1|CCAP
OG0001580	LOC118464408|XP_035787657.1|AALB	CCAP1982_LOCUS23297|CAD7015352.1|CCAP
OG0001726	LOC118466837|XP_035792541.1|AALB, LOC118463913|XP_035786744.1|AALB	LOC108083620|XP_017034980.1|DKIK
OG0001812	LOC118461261|XP_035782275.1|AALB	LOC108083583|XP_017034932.1|DKIK
OG0002066	LOC118466598|XP_035792058.1|AALB	CCAP1982_LOCUS4591|CAD6995890.1|CCAP, CCAP1982_LOCUS4595|CAD6995894.1|CCAP, CCAP1982_LOCUS4592|CAD6995891.1|CCAP
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC115633667|XP_030386971.1|SLEB
OG0002090	LOC118464895|XP_035788540.1|AALB	Syx13|NP_524054.1|DMEL
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC6605535|XP_002030363.1|DSEC
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC6737913|XP_016031685.1|DSIM
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC117140720|XP_033159676.1|DMAU
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC6533973|XP_002094668.1|DYAK
OG0002090	LOC118464895|XP_035788540.1|AALB	LOC120448498|XP_039486464.1|DSAN
