Orthogroup	DKIK.longest_only	Other
OG0000010	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK	LOC120457970|XP_039501405.1|DSAN
OG0000047	LOC108080858|XP_017031251.1|DKIK	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA
OG0000047	LOC108080858|XP_017031251.1|DKIK	LOC117194873|XP_033255228.1|DMIR, LOC117190172|XP_033251125.1|DMIR, LOC117192459|XP_033253049.1|DMIR, LOC117193977|XP_033254515.1|DMIR, LOC117193990|XP_033254522.1|DMIR, LOC117191230|XP_033252040.1|DMIR
OG0000064	LOC108080822|XP_017031214.1|DKIK	LOC110679452|XP_021709737.1|AAEG, LOC5576377|XP_021700128.1|AAEG, LOC110678899|XP_021708190.1|AAEG, LOC110676390|XP_021699796.1|AAEG, LOC110674019|XP_021707298.1|AAEG, LOC23687640|XP_021712884.1|AAEG, LOC110679062|XP_021708700.1|AAEG
OG0000071	LOC108073779|XP_017021035.1|DKIK	LOC118508074|XP_035903431.1|ASTE
OG0000071	LOC108073779|XP_017021035.1|DKIK	LOC5565474|XP_001649820.2|AAEG
OG0000120	LOC108076008|XP_017024152.1|DKIK	LOC6496786|XP_001965770.1|DANA
OG0000142	LOC108072493|XP_017019152.1|DKIK	LOC115760359|XP_030557508.1|DNOV
OG0000157	LOC108078512|XP_017027903.1|DKIK	LOC117193637|XP_033254273.1|DMIR
OG0000171	LOC108075455|XP_017023402.1|DKIK	LOC115268592|XP_029732566.1|AEAL
OG0000239	LOC108081219|XP_017031785.1|DKIK	LOC115482805|XP_030078778.1|DHYD
OG0000255	LOC108074697|XP_017022327.1|DKIK	LOC5578920|XP_001657206.1|AAEG
OG0000301	LOC108082627|XP_017033598.1|DKIK	LOC118456217|XP_035772695.1|AALB
OG0000301	LOC108082627|XP_017033598.1|DKIK	LOC120322175|XP_039233165.1|DYAK
OG0000364	LOC108074974|XP_017022696.1|DKIK	LOC111603056|XP_030081833.1|DHYD
OG0000456	LOC108070562|XP_017016589.1|DKIK	LOC111595874|XP_023165565.2|DHYD
OG0000456	LOC108070562|XP_017016589.1|DKIK	LOC115766708|XP_030566486.1|DNOV
OG0000456	LOC108070562|XP_017016589.1|DKIK	LOC6636214|XP_002059715.2|DVIR
