Orthogroup	DELE.longest_only	DBIA.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC108145787|XP_017126846.1|DELE	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA
OG0000000	LOC108145637|XP_017126661.1|DELE	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC108150089|XP_017133542.1|DELE	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC108142886|XP_017122451.1|DELE	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC108141650|XP_017120608.1|DELE	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC108142885|XP_017122450.1|DELE	LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE	LOC108022120|XP_016946450.1|DBIA
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC108145640|XP_017126665.1|DELE	LOC108034430|XP_016964804.1|DBIA
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC108149858|XP_017133226.1|DELE	LOC108032347|XP_016961646.1|DBIA
OG0000002	LOC108147339|XP_017129256.1|DELE	LOC108029010|XP_016956543.1|DBIA
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC108027710|XP_016954748.1|DBIA
OG0000002	LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE	LOC108029019|XP_016956553.1|DBIA
OG0000002	LOC108134735|XP_017110639.1|DELE	LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC108144671|XP_017125217.1|DELE	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA
