Orthogroup	DELE.longest_only	DMAU.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC108143366|XP_017123177.1|DELE	LOC117138434|XP_033156436.1|DMAU
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC108145637|XP_017126661.1|DELE	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC108134556|XP_017110398.1|DELE	LOC117144786|XP_033166045.1|DMAU
OG0000000	LOC108136678|XP_017113490.1|DELE	LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC108141650|XP_017120608.1|DELE	LOC117136304|XP_033153082.1|DMAU
OG0000000	LOC108142885|XP_017122450.1|DELE	LOC117145451|XP_033167010.1|DMAU
OG0000000	LOC108145618|XP_017126643.1|DELE	LOC117137412|XP_033154732.1|DMAU
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC108143648|XP_017123649.1|DELE	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC108145639|XP_017126664.1|DELE	LOC117140538|XP_033159418.1|DMAU
