Orthogroup	DELE.longest_only	DSAN.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC108143366|XP_017123177.1|DELE	LOC120444734|XP_039480595.1|DSAN
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC108145787|XP_017126846.1|DELE	LOC120447820|XP_039485331.1|DSAN
OG0000000	LOC108145637|XP_017126661.1|DELE	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC108134556|XP_017110398.1|DELE	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC108136678|XP_017113490.1|DELE	LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC108141650|XP_017120608.1|DELE	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC108142885|XP_017122450.1|DELE	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC108145618|XP_017126643.1|DELE	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC108145639|XP_017126664.1|DELE	LOC120447884|XP_039485429.1|DSAN
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC120448603|XP_039486639.1|DSAN
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC108134735|XP_017110639.1|DELE	LOC120448038|XP_039485719.1|DSAN
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC108144671|XP_017125217.1|DELE	LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN
OG0000003	LOC108144468|XP_017124861.1|DELE	LOC120446975|XP_039484180.1|DSAN
OG0000003	LOC108144801|XP_017125415.1|DELE	LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC120458377|XP_039501931.1|DSAN
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC120450299|XP_039489171.1|DSAN
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC120449593|XP_039488092.1|DSAN
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC120449309|XP_039487635.1|DSAN
OG0000007	LOC108142601|XP_017122061.1|DELE	LOC120449521|XP_039487968.1|DSAN
OG0000007	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE	LOC120458533|XP_039502144.1|DSAN
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC120458508|XP_039502112.1|DSAN
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC120450012|XP_039488670.1|DSAN
OG0000007	LOC108142395|XP_017121724.1|DELE	LOC120449828|XP_039488411.1|DSAN
OG0000007	LOC108142396|XP_017121725.1|DELE	LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC120449658|XP_039488188.1|DSAN
OG0000008	LOC108149861|XP_017133230.1|DELE	LOC120456894|XP_039499926.1|DSAN
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC120453056|XP_039493512.1|DSAN
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC120453871|XP_039494710.1|DSAN
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC120453053|XP_039493508.1|DSAN
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC120452274|XP_039492339.1|DSAN
OG0000008	LOC108148324|XP_017130804.1|DELE	LOC120453887|XP_039494738.1|DSAN
OG0000009	LOC108137036|XP_017114024.1|DELE	LOC120452846|XP_039493217.1|DSAN
OG0000009	LOC108136709|XP_017113523.1|DELE	LOC120453968|XP_039494853.1|DSAN
OG0000009	LOC108136793|XP_017113657.1|DELE	LOC120454581|XP_039495924.1|DSAN
OG0000009	LOC108137037|XP_017114025.1|DELE	LOC120452847|XP_039493218.1|DSAN
OG0000009	LOC108147392|XP_017129317.1|DELE	LOC120447920|XP_039485510.1|DSAN
OG0000009	LOC108147550|XP_017129624.1|DELE	LOC120447921|XP_039485511.1|DSAN
OG0000009	LOC108144916|XP_017125568.1|DELE	LOC120446532|XP_039483479.1|DSAN
OG0000009	LOC108135151|XP_017111261.1|DELE	LOC120453301|XP_039493868.1|DSAN
OG0000009	LOC108137992|XP_017115455.1|DELE	LOC120445192|XP_039481349.1|DSAN
OG0000009	LOC108137889|XP_017115317.1|DELE	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC120457684|XP_039501107.1|DSAN
OG0000011	LOC108136397|XP_017112996.1|DELE	LOC120456909|XP_039499973.1|DSAN
OG0000011	LOC108146665|XP_017128206.1|DELE	LOC120458387|XP_039501940.1|DSAN, LOC120458388|XP_039501941.1|DSAN
OG0000011	LOC108138672|XP_017116504.1|DELE	LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN
OG0000011	LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE	LOC120449699|XP_039488248.1|DSAN
OG0000011	LOC108138785|XP_017116749.1|DELE	LOC120454523|XP_039495825.1|DSAN
OG0000011	LOC108150498|XP_017134198.1|DELE	LOC120444818|XP_039480708.1|DSAN, LOC120447070|XP_039484395.1|DSAN
OG0000011	LOC108150409|XP_017134056.1|DELE	LOC120445760|XP_039482290.1|DSAN
OG0000011	LOC108138422|XP_017116107.1|DELE	LOC120454945|XP_039496647.1|DSAN
OG0000011	LOC108146667|XP_017128209.1|DELE	LOC120449538|XP_039487994.1|DSAN
OG0000011	LOC108146666|XP_017128208.1|DELE	LOC120449537|XP_039487993.1|DSAN
OG0000011	LOC108139281|XP_017117466.1|DELE	LOC120452178|XP_039492220.1|DSAN
OG0000012	LOC108145523|XP_017126497.1|DELE	LOC120445821|XP_039482372.1|DSAN
OG0000012	LOC108145522|XP_017126496.1|DELE	LOC120445820|XP_039482371.1|DSAN
OG0000012	LOC108145538|XP_017126526.1|DELE	LOC120446192|XP_039482973.1|DSAN
OG0000012	LOC108145542|XP_017126531.1|DELE	LOC120446256|XP_039483062.1|DSAN
OG0000012	LOC108145552|XP_017126542.1|DELE	LOC120444865|XP_039480765.1|DSAN
OG0000012	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE	LOC120445730|XP_039482234.1|DSAN
OG0000012	LOC108137877|XP_017115304.1|DELE	LOC120446629|XP_039483624.1|DSAN
OG0000012	LOC108137996|XP_017115460.1|DELE	LOC120446410|XP_039483290.1|DSAN
OG0000012	LOC108137901|XP_017115330.1|DELE	LOC120445226|XP_039481417.1|DSAN
OG0000012	LOC108137950|XP_017115398.1|DELE	LOC120446006|XP_039482689.1|DSAN
OG0000012	LOC108137951|XP_017115399.1|DELE	LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC120444466|XP_039480072.1|DSAN
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC120456796|XP_039499752.1|DSAN
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC120450753|XP_039489810.1|DSAN
OG0000013	LOC108146660|XP_017128198.1|DELE	LOC120447659|XP_039485107.1|DSAN
OG0000013	LOC108135085|XP_017111146.1|DELE	LOC120450808|XP_039489911.1|DSAN
OG0000013	LOC108136687|XP_017113497.1|DELE	LOC120452623|XP_039492863.1|DSAN
OG0000013	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000015	LOC108138780|XP_017116737.1|DELE	LOC120446987|XP_039484221.1|DSAN
OG0000015	LOC108147770|XP_017129989.1|DELE	LOC120456360|XP_039499095.1|DSAN
OG0000015	LOC108138355|XP_017116015.1|DELE	LOC120458791|XP_039502509.1|DSAN
OG0000015	LOC108138106|XP_017115592.1|DELE	LOC120458608|XP_039502248.1|DSAN
OG0000015	LOC108144693|XP_017125256.1|DELE	LOC120445789|XP_039482329.1|DSAN
OG0000015	LOC108141971|XP_017121111.1|DELE	LOC120454309|XP_039495442.1|DSAN
OG0000016	LOC108139227|XP_017117379.1|DELE	LOC120451140|XP_039490495.1|DSAN
OG0000016	LOC108145428|XP_017126326.1|DELE	LOC120444605|XP_039480314.1|DSAN
OG0000016	LOC108135797|XP_017112156.1|DELE	LOC120454635|XP_039496058.1|DSAN
OG0000016	LOC108144651|XP_017125185.1|DELE	LOC120445231|XP_039481423.1|DSAN
OG0000016	LOC108140881|XP_017119405.1|DELE	LOC120457379|XP_039500852.1|DSAN
OG0000016	LOC108134657|XP_017110539.1|DELE	LOC120444059|XP_039479503.1|DSAN
OG0000016	LOC108140478|XP_017118708.1|DELE	LOC120450954|XP_039490174.1|DSAN
OG0000016	LOC108143220|XP_017123005.1|DELE	LOC120450393|XP_039489322.1|DSAN
OG0000017	LOC108136374|XP_017112976.1|DELE	LOC120456210|XP_039498824.1|DSAN
OG0000017	LOC108149934|XP_017133339.1|DELE	LOC120458133|XP_039501613.1|DSAN
OG0000017	LOC108134991|XP_017111013.1|DELE	LOC120453270|XP_039493835.1|DSAN
OG0000017	LOC108144019|XP_017124134.1|DELE	LOC120452397|XP_039492549.1|DSAN
OG0000017	LOC108137351|XP_017114475.1|DELE	LOC120452471|XP_039492644.1|DSAN
OG0000017	LOC108143462|XP_017123388.1|DELE	LOC120445309|XP_039481553.1|DSAN
OG0000017	LOC108141554|XP_017120482.1|DELE	LOC120454864|XP_039496354.1|DSAN
OG0000017	LOC108143281|XP_017123085.1|DELE	LOC120445308|XP_039481552.1|DSAN
OG0000017	LOC108147936|XP_017130210.1|DELE	LOC120454377|XP_039495551.1|DSAN
OG0000018	LOC108142474|XP_017121847.1|DELE	LOC120448958|XP_039487148.1|DSAN
OG0000018	LOC108142172|XP_017121346.1|DELE	LOC120447671|XP_039485130.1|DSAN
