Orthogroup	DELE.longest_only	DERE.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC108143366|XP_017123177.1|DELE	LOC6546799|XP_001975893.2|DERE
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC108145637|XP_017126661.1|DELE	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC108134556|XP_017110398.1|DELE	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE
OG0000000	LOC108136678|XP_017113490.1|DELE	LOC6554923|XP_001981128.1|DERE
OG0000000	LOC108150089|XP_017133542.1|DELE	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC108141650|XP_017120608.1|DELE	LOC6541136|XP_001969303.1|DERE
OG0000000	LOC108142885|XP_017122450.1|DELE	LOC6554482|XP_001981927.3|DERE
OG0000000	LOC108145618|XP_017126643.1|DELE	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC26526070|XP_026831673.1|DERE
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC6545786|XP_001973422.2|DERE
OG0000002	LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE	LOC6542167|XP_001968638.1|DERE
OG0000002	LOC108134735|XP_017110639.1|DELE	LOC6541336|XP_001968621.3|DERE
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC6549103|XP_001975568.1|DERE
OG0000003	LOC108144671|XP_017125217.1|DELE	LOC6548983|XP_001975566.1|DERE
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC6548982|XP_001975565.1|DERE
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE
OG0000003	LOC108144801|XP_017125415.1|DELE	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC6543237|XP_001970449.1|DERE
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC6545299|XP_001972057.1|DERE
OG0000007	LOC108142601|XP_017122061.1|DELE	LOC6545296|XP_001972054.1|DERE
OG0000007	LOC108142394|XP_017121723.1|DELE	LOC6545102|XP_001972053.1|DERE
OG0000007	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC108148444|XP_017130968.1|DELE	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC6540935|XP_001968733.1|DERE
OG0000007	LOC108142395|XP_017121724.1|DELE	LOC6545300|XP_001972058.2|DERE
OG0000007	LOC108142396|XP_017121725.1|DELE	LOC6545301|XP_001972059.1|DERE
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC6553905|XP_001979522.1|DERE
