Orthogroup	DELE.longest_only	AALB.longest_only
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC118458183|XP_035776304.1|AALB
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC108137036|XP_017114024.1|DELE, LOC108136709|XP_017113523.1|DELE, LOC108144089|XP_017124230.1|DELE, LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE, LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE, LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC118465135|XP_035788966.1|AALB
OG0000012	LOC108145523|XP_017126497.1|DELE, LOC108145522|XP_017126496.1|DELE, LOC108145538|XP_017126526.1|DELE, LOC108145542|XP_017126531.1|DELE, LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE, LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE, LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC108146660|XP_017128198.1|DELE	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC108136687|XP_017113497.1|DELE, LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000016	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC108135797|XP_017112156.1|DELE	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC108140881|XP_017119405.1|DELE	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC108143220|XP_017123005.1|DELE	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC108142474|XP_017121847.1|DELE	LOC118463128|XP_035785378.1|AALB
