Orthogroup	DELE.longest_only	DFIC.longest_only
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC108096481|XP_017053581.1|DFIC
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC108145787|XP_017126846.1|DELE	LOC108089296|XP_017042963.1|DFIC
OG0000000	LOC108145637|XP_017126661.1|DELE	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC108150089|XP_017133542.1|DELE	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC108142886|XP_017122451.1|DELE	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC
OG0000000	LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC108145618|XP_017126643.1|DELE	LOC108100131|XP_017059373.1|DFIC
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC108093605|XP_017049220.1|DFIC
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC108145639|XP_017126664.1|DELE	LOC108089294|XP_017042961.1|DFIC
OG0000000	LOC108135485|XP_017111717.1|DELE	LOC108091368|XP_017046009.1|DFIC
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC108092580|XP_017047713.1|DFIC
OG0000002	LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC108144671|XP_017125217.1|DELE	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC108144468|XP_017124861.1|DELE	LOC108099209|XP_017058075.1|DFIC
OG0000003	LOC108144801|XP_017125415.1|DELE	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC108090319|XP_017044419.1|DFIC
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC108142601|XP_017122061.1|DELE	LOC108093241|XP_017048705.1|DFIC
