Orthogroup	DELE.longest_only	DEUG.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC108145787|XP_017126846.1|DELE	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC108136678|XP_017113490.1|DELE	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC108150089|XP_017133542.1|DELE	LOC108113894|XP_017080088.1|DEUG
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC108141650|XP_017120608.1|DELE	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG
OG0000000	LOC108142885|XP_017122450.1|DELE	LOC108117463|XP_017085374.1|DEUG
OG0000000	LOC108145618|XP_017126643.1|DELE	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC108145639|XP_017126664.1|DELE	LOC108113890|XP_017080084.1|DEUG
OG0000000	LOC108145640|XP_017126665.1|DELE	LOC108113892|XP_017080086.1|DEUG
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC108108505|XP_017072063.1|DEUG
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC108147339|XP_017129256.1|DELE	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC108113287|XP_017079326.1|DEUG
OG0000002	LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE	LOC108110800|XP_017075517.1|DEUG
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC108106604|XP_017069284.1|DEUG
OG0000003	LOC108144671|XP_017125217.1|DELE	LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC108144468|XP_017124861.1|DELE	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG
OG0000003	LOC108144801|XP_017125415.1|DELE	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC108104523|XP_017066143.1|DEUG
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	LOC108113823|XP_017080058.1|DEUG
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC108142394|XP_017121723.1|DELE	LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC108142395|XP_017121724.1|DELE	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC108142396|XP_017121725.1|DELE	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC108149861|XP_017133230.1|DELE	LOC108103232|XP_017064122.1|DEUG
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC108116120|XP_017083333.1|DEUG
