Orthogroup	DELE.longest_only	CCAP.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE, LOC108135022|XP_017111043.1|DELE	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE, LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE, LOC108144294|XP_017124470.1|DELE, LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE, LOC108150089|XP_017133542.1|DELE, LOC108143736|XP_017123759.1|DELE, LOC108142886|XP_017122451.1|DELE, LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE, LOC108145618|XP_017126643.1|DELE, LOC108141344|XP_017120143.1|DELE, LOC108148604|XP_017131171.1|DELE	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE, LOC108147230|XP_017129111.1|DELE, LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE, LOC108135485|XP_017111717.1|DELE, LOC108141030|XP_017119608.1|DELE	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC108144670|XP_017125215.1|DELE, LOC108145092|XP_017125773.1|DELE	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC108144820|XP_017125440.1|DELE	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC108145367|XP_017126250.1|DELE	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000007	LOC108135575|XP_017111853.1|DELE	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC108142600|XP_017122060.1|DELE	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE, LOC108148444|XP_017130968.1|DELE, LOC108148696|XP_017131333.1|DELE, LOC108148697|XP_017131334.1|DELE, LOC108148759|XP_017131449.1|DELE, LOC108148468|XP_017130989.1|DELE, LOC108138842|XP_017116842.1|DELE, LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE, LOC108142395|XP_017121724.1|DELE, LOC108142396|XP_017121725.1|DELE	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC108149642|XP_017132905.1|DELE	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC108145869|XP_017126996.1|DELE	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC108145867|XP_017126995.1|DELE	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC108145871|XP_017126998.1|DELE	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC108148323|XP_017130803.1|DELE	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC108148325|XP_017130805.1|DELE	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC108148321|XP_017130801.1|DELE	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC108148322|XP_017130802.1|DELE	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC108148324|XP_017130804.1|DELE	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC108137036|XP_017114024.1|DELE	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC108139189|XP_017117303.1|DELE	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000012	LOC108145523|XP_017126497.1|DELE	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC108145522|XP_017126496.1|DELE	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC108145538|XP_017126526.1|DELE	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC108145542|XP_017126531.1|DELE	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE, LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE, LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC108149749|XP_017133029.1|DELE	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC108134833|XP_017110785.1|DELE	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC108146660|XP_017128198.1|DELE	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC108135085|XP_017111146.1|DELE	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC108136687|XP_017113497.1|DELE	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000016	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC108135797|XP_017112156.1|DELE	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC108144651|XP_017125185.1|DELE	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC108140478|XP_017118708.1|DELE	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC108143220|XP_017123005.1|DELE	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC108149934|XP_017133339.1|DELE, LOC108134991|XP_017111013.1|DELE	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC108142474|XP_017121847.1|DELE	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC108142172|XP_017121346.1|DELE	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC108142475|XP_017121848.1|DELE	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000019	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC108148802|XP_017131514.1|DELE	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC108136813|XP_017113705.1|DELE	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC108134787|XP_017110724.1|DELE	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC108144256|XP_017124426.1|DELE	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC108140949|XP_017119506.1|DELE	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC108141054|XP_017119691.1|DELE	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC108141157|XP_017119872.1|DELE	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC108141055|XP_017119693.1|DELE	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC108134565|XP_017110407.1|DELE	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000026	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC108138066|XP_017115531.1|DELE	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC108138053|XP_017115518.1|DELE	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
