Orthogroup	DELE.longest_only	DSUB.longest_only
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC108150089|XP_017133542.1|DELE	LOC117892705|XP_034655010.1|DSUB
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC108142886|XP_017122451.1|DELE	LOC117892569|XP_034654782.1|DSUB
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC117897324|XP_034661985.1|DSUB
OG0000000	LOC108135485|XP_017111717.1|DELE	LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC108138226|XP_017115837.1|DELE	LOC117900165|XP_034666298.1|DSUB
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC108144468|XP_017124861.1|DELE, LOC108144801|XP_017125415.1|DELE	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC117890988|XP_034652030.1|DSUB
