Orthogroup	DELE.longest_only	DYAK.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC108143366|XP_017123177.1|DELE	LOC26536205|XP_015052957.2|DYAK
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC108145637|XP_017126661.1|DELE	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC108134556|XP_017110398.1|DELE	LOC6536389|XP_002096971.3|DYAK
OG0000000	LOC108136678|XP_017113490.1|DELE	LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC108141650|XP_017120608.1|DELE	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC108142885|XP_017122450.1|DELE	LOC26536234|XP_015048941.1|DYAK
OG0000000	LOC108145618|XP_017126643.1|DELE	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC108145639|XP_017126664.1|DELE	LOC6539518|XP_039230304.1|DYAK
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC6533890|XP_002094590.1|DYAK
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC108134735|XP_017110639.1|DELE	LOC6526775|XP_002087878.2|DYAK
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC108144671|XP_017125217.1|DELE	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC108144468|XP_017124861.1|DELE	LOC6530459|XP_002091375.1|DYAK
OG0000003	LOC108144801|XP_017125415.1|DELE	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC6528606|XP_002089649.1|DYAK
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC108142601|XP_017122061.1|DELE	LOC6533140|XP_002093866.1|DYAK
OG0000007	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC108142395|XP_017121724.1|DELE	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC108142396|XP_017121725.1|DELE	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC108149861|XP_017133230.1|DELE	LOC6524096|XP_002099960.1|DYAK
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC108148324|XP_017130804.1|DELE	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC108137036|XP_017114024.1|DELE	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC108136709|XP_017113523.1|DELE	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC108136793|XP_017113657.1|DELE	LOC6535720|XP_002096346.1|DYAK
OG0000009	LOC108137037|XP_017114025.1|DELE	LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC108147392|XP_017129317.1|DELE	LOC6533117|XP_002093843.1|DYAK
OG0000009	LOC108147550|XP_017129624.1|DELE	LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC108144916|XP_017125568.1|DELE	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC108135151|XP_017111261.1|DELE	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC108137992|XP_017115455.1|DELE	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC108137889|XP_017115317.1|DELE	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC120322218|XP_039233208.1|DYAK
OG0000011	LOC108139056|XP_017117164.1|DELE	LOC26534881|XP_015054560.1|DYAK
OG0000011	LOC108136397|XP_017112996.1|DELE	LOC6525318|XP_002101154.2|DYAK
OG0000011	LOC108146665|XP_017128206.1|DELE	LOC120320450|XP_039227155.1|DYAK, LOC6526687|XP_002087792.2|DYAK
