Orthogroup	DELE.longest_only	DBUS.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC108597142|XP_017839023.1|DBUS
