Orthogroup	DELE.longest_only	DANA.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC108139044|XP_017117150.1|DELE	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC108142886|XP_017122451.1|DELE	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE, LOC108145618|XP_017126643.1|DELE, LOC108141344|XP_017120143.1|DELE	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE	LOC6502509|XP_001960943.2|DANA
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC108135485|XP_017111717.1|DELE	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC6494276|XP_032306810.1|DANA
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC6502577|XP_001960292.2|DANA
