Orthogroup	DELE.longest_only	DKIK.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC108134556|XP_017110398.1|DELE	LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC108150089|XP_017133542.1|DELE	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC108145618|XP_017126643.1|DELE	LOC108080870|XP_017031262.1|DKIK
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC108144147|XP_017124279.1|DELE	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC108070634|XP_017016690.1|DKIK
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC108138226|XP_017115837.1|DELE, LOC108149858|XP_017133226.1|DELE	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC108142258|XP_017121466.1|DELE	LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE	LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000003	LOC108144467|XP_017124860.1|DELE	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC108072446|XP_017019063.1|DKIK
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC108144468|XP_017124861.1|DELE	LOC108072407|XP_017018998.1|DKIK
OG0000003	LOC108144801|XP_017125415.1|DELE	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC108070791|XP_017016879.1|DKIK
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	LOC108073963|XP_017021295.1|DKIK
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC108071918|XP_017018366.1|DKIK
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC108071584|XP_017017854.1|DKIK
OG0000007	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC108142395|XP_017121724.1|DELE	LOC108071626|XP_017017898.1|DKIK
OG0000007	LOC108142396|XP_017121725.1|DELE	LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC108149861|XP_017133230.1|DELE	LOC108070862|XP_017016987.1|DKIK
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC108080456|XP_017030682.1|DKIK
