Orthogroup	DELE.longest_only	CQUI.longest_only
OG0000002	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000007	LOC108135575|XP_017111853.1|DELE, LOC108142600|XP_017122060.1|DELE, LOC108142393|XP_017121722.1|DELE, LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE, LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE, LOC108148444|XP_017130968.1|DELE, LOC108148696|XP_017131333.1|DELE, LOC108148697|XP_017131334.1|DELE, LOC108148759|XP_017131449.1|DELE, LOC108148468|XP_017130989.1|DELE, LOC108138842|XP_017116842.1|DELE, LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE, LOC108142395|XP_017121724.1|DELE, LOC108142396|XP_017121725.1|DELE	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC108137036|XP_017114024.1|DELE, LOC108136709|XP_017113523.1|DELE, LOC108144089|XP_017124230.1|DELE, LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE, LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE, LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC6054618|XP_038112552.1|CQUI
OG0000012	LOC108145523|XP_017126497.1|DELE, LOC108145522|XP_017126496.1|DELE, LOC108145538|XP_017126526.1|DELE, LOC108145542|XP_017126531.1|DELE, LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE, LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE, LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC108146660|XP_017128198.1|DELE	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC108135085|XP_017111146.1|DELE	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC108136687|XP_017113497.1|DELE, LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	LOC6047923|XP_001864910.2|CQUI
