Orthogroup	DELE.longest_only	SLEB.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE, LOC108135022|XP_017111043.1|DELE	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE, LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC108134556|XP_017110398.1|DELE	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC115632651|XP_030385741.1|SLEB
OG0000002	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	LOC115633967|XP_030387348.1|SLEB
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC115619981|XP_030368881.1|SLEB
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC108142393|XP_017121722.1|DELE, LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC108142395|XP_017121724.1|DELE, LOC108142396|XP_017121725.1|DELE	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
