Orthogroup	DMEL.longest_only	DKIK.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC108078585|XP_017027994.1|DKIK
OG0000000	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL	LOC108084016|XP_017035518.1|DKIK
OG0000000	CG33775|NP_001027410.1|DMEL	LOC108077933|XP_017026960.1|DKIK
OG0000000	CG33687|NP_001027130.2|DMEL	LOC108078602|XP_017028011.1|DKIK
OG0000000	CG33690|NP_001368948.1|DMEL	LOC108078603|XP_017028013.1|DKIK
OG0000000	CG12849|NP_611969.2|DMEL	LOC108072234|XP_017018785.1|DKIK
OG0000000	CG33654|NP_001027165.1|DMEL	LOC108080866|XP_017031258.1|DKIK
OG0000000	CG33773|NP_001027213.1|DMEL	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	CG33798|NP_001027414.1|DMEL	LOC108080870|XP_017031262.1|DKIK
OG0000000	CG33777|NP_001027108.1|DMEL	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK
OG0000000	CG33648|NP_001027265.2|DMEL	LOC108080896|XP_017031287.1|DKIK
OG0000000	CG33721|NP_001036743.1|DMEL	LOC108075384|XP_017023284.1|DKIK
OG0000000	CG33928|NP_001027276.1|DMEL	LOC108076851|XP_017025370.1|DKIK
OG0000000	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC108070814|XP_017016902.1|DKIK
OG0000000	CG14518|NP_651653.2|DMEL	LOC108070634|XP_017016690.1|DKIK
OG0000000	CG33927|NP_001027147.1|DMEL	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	CG33796|NP_001027128.1|DMEL	LOC108078601|XP_017028010.1|DKIK
OG0000002	CG5550|NP_001246376.1|DMEL	LOC108082125|XP_017032915.1|DKIK
OG0000002	CG30281|NP_726164.1|DMEL	LOC108085203|XP_017037209.1|DKIK
OG0000002	CG30280|NP_611641.6|DMEL	LOC108085202|XP_017037207.1|DKIK
OG0000002	CG31832|NP_723894.2|DMEL	LOC108074354|XP_017021869.1|DKIK
OG0000002	CG7668|NP_649170.1|DMEL	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	CG9500|NP_609018.3|DMEL	LOC108082669|XP_017033655.1|DKIK
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC108072418|XP_017019012.1|DKIK
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC108072446|XP_017019063.1|DKIK
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC108070524|XP_017016527.1|DKIK
OG0000003	Cyp6a23|NP_611000.2|DMEL	LOC108072417|XP_017019010.1|DKIK
OG0000003	Cyp6a19|NP_611001.2|DMEL	LOC108072407|XP_017018998.1|DKIK
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC108072419|XP_017019013.1|DKIK
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC108070794|XP_017016883.1|DKIK
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC108073603|XP_017020784.1|DKIK
