Orthogroup	DMEL.longest_only	AAEG.longest_only
OG0000002	CG9500|NP_609018.3|DMEL	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000006	His2A_CG33826|NP_001027321.1|DMEL	LOC110679778|XP_021711201.1|AAEG
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC110678308|XP_021706672.1|AAEG, LOC110678836|XP_021708006.1|AAEG, LOC110679779|XP_021711202.1|AAEG
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG
OG0000006	His2A_CG33844|NP_001027351.1|DMEL	LOC110679774|XP_021711197.1|AAEG
OG0000007	Jon65Aiv|NP_648012.1|DMEL, Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL, Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL	LOC5577572|XP_001663444.2|AAEG
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC110677732|XP_021704637.1|AAEG
OG0000008	Crys|NP_476906.1|DMEL	LOC5578716|XP_001664018.2|AAEG
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
