Orthogroup	DMEL.longest_only	SLEB.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC115634489|XP_030388106.1|SLEB
OG0000000	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL, CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL, CG33775|NP_001027410.1|DMEL	LOC115634408|XP_030387964.1|SLEB
OG0000000	CG33687|NP_001027130.2|DMEL, CG33690|NP_001368948.1|DMEL, CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	CG12849|NP_611969.2|DMEL	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	CG33654|NP_001027165.1|DMEL	LOC115625399|XP_030376298.1|SLEB
OG0000000	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	CG14518|NP_651653.2|DMEL	LOC115632651|XP_030385741.1|SLEB
OG0000002	CG9500|NP_609018.3|DMEL	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000003	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL	LOC115620029|XP_030368994.1|SLEB
OG0000003	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL	LOC115620049|XP_030369030.1|SLEB
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC115634646|XP_030388364.1|SLEB
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC115628616|XP_030380660.1|SLEB
OG0000004	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB
OG0000005	His2B_CG33910|NP_001027283.1|DMEL	LOC115630367|XP_030382760.1|SLEB
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC115630364|XP_030382757.1|SLEB, LOC115630328|XP_030382725.1|SLEB
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC115630278|XP_030382673.1|SLEB
OG0000006	His2A_CG33844|NP_001027351.1|DMEL	LOC115633465|XP_030386780.1|SLEB
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC115633153|XP_030386422.1|SLEB
OG0000007	Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	Jon44E|NP_724699.1|DMEL	LOC115633111|XP_030386356.1|SLEB
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL	LOC115630750|XP_030383265.1|SLEB
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC115623801|XP_030374203.1|SLEB
