Orthogroup	DMEL.longest_only	CQUI.longest_only
OG0000002	CG7668|NP_649170.1|DMEL	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000002	CG9500|NP_609018.3|DMEL	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI
OG0000006	His2A_CG33850|NP_001027361.1|DMEL, His2A_CG31618|NP_724343.1|DMEL, His2A_CG33847|NP_001027356.1|DMEL	LOC6045306|XP_001862695.1|CQUI
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	Jon65Aiv|NP_648012.1|DMEL, Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL, Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC6035807|XP_001845929.1|CQUI
OG0000008	Crys|NP_476906.1|DMEL	LOC6041962|XP_038113753.1|CQUI
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC6035809|XP_001845931.2|CQUI
OG0000009	CG11453|NP_650832.1|DMEL, CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL, CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	His4_CG33893|NP_001027322.1|DMEL, His4_CG33895|NP_001027317.1|DMEL, His4_CG33903|NP_001027297.1|DMEL, His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL, His4_CG33871|NP_001027377.1|DMEL, His4_CG33887|NP_001027337.1|DMEL, His4_CG33875|NP_001027367.1|DMEL, His4_CG33901|NP_001027302.1|DMEL, His4_CG33889|NP_001027332.1|DMEL, His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL, His4_CG33899|NP_001027307.1|DMEL	LOC6054618|XP_038112552.1|CQUI
OG0000010	His4_CG33883|NP_001027347.1|DMEL	LOC6048215|XP_038112551.1|CQUI
OG0000012	CG9416|NP_611415.2|DMEL, CG10051|NP_611414.1|DMEL, CG11961|NP_725876.1|DMEL, CG10062|NP_001261089.1|DMEL, CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC6035930|XP_001846040.1|CQUI
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC6034961|XP_038118728.1|CQUI
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC6041235|XP_001850527.1|CQUI
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC6038413|XP_001848218.2|CQUI
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC6047700|XP_038117441.1|CQUI
OG0000013	Hsp68|NP_524474.1|DMEL, Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC6047923|XP_001864910.2|CQUI
OG0000016	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL	LOC6037346|XP_001847269.1|CQUI
OG0000016	Arp1|NP_524331.2|DMEL	LOC6032259|XP_001842896.1|CQUI
OG0000016	Act5C|NP_511052.1|DMEL	LOC6042744|XP_038105438.1|CQUI
OG0000016	Act79B|NP_524210.1|DMEL	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC6049793|XP_038119134.1|CQUI
OG0000019	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL	LOC6039899|XP_001849397.1|CQUI
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL	LOC6036302|XP_038116279.1|CQUI
OG0000021	flw|NP_727418.1|DMEL	LOC6033026|XP_038122145.1|CQUI
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL, Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL	LOC6039972|XP_001849462.1|CQUI
OG0000022	CG7798|NP_611098.1|DMEL, LysX|NP_523881.1|DMEL, LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL, LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL	LOC6037178|XP_001847112.1|CQUI
OG0000023	alpha-Est6|NP_524262.1|DMEL, alpha-Est5|NP_001246965.1|DMEL, alpha-Est3|NP_524267.2|DMEL, alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL, alpha-Est7|NP_524261.1|DMEL, alpha-Est9|NP_731165.2|DMEL, alpha-Est8|NP_524259.2|DMEL, alpha-Est10|NP_001246962.1|DMEL	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL, epsilonTry|NP_525112.1|DMEL, CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL, Ser8|NP_610874.1|DMEL	LOC6034201|XP_001844555.2|CQUI
OG0000025	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000025	His3_CG33854|NP_001027368.1|DMEL	LOC6048216|XP_001865169.1|CQUI
OG0000025	His3_CG33833|NP_001027333.1|DMEL, His3_CG33803|NP_001027285.1|DMEL, His3_CG33821|NP_001027313.1|DMEL, His3_CG33818|NP_001027308.1|DMEL, His3_CG33809|NP_001027294.1|DMEL, His3_CG33863|NP_001027383.1|DMEL, His3_CG33806|NP_001027289.1|DMEL	LOC6037566|XP_001847464.2|CQUI
OG0000026	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	Acp1|NP_477115.1|DMEL, CG7203|NP_609143.2|DMEL, CG7214|NP_609141.1|DMEL	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL, CG14095|NP_649112.1|DMEL, CG14096|NP_649113.1|DMEL, CG18294|NP_649115.2|DMEL, CG12519|NP_001262046.1|DMEL, CG32212|NP_730416.1|DMEL, CG13068|NP_648856.1|DMEL	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000031	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL, SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000032	GstD1|NP_524326.1|DMEL, GstD10|NP_652713.1|DMEL, GstD9|NP_650181.1|DMEL, GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
