Orthogroup	DMEL.longest_only	DERE.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC6545981|XP_001972189.2|DERE
OG0000000	CG33752|NP_001027409.1|DMEL	LOC6546799|XP_001975893.2|DERE
OG0000000	CG33679|NP_001027273.1|DMEL	LOC6541982|XP_001968936.1|DERE
OG0000000	CG33783|NP_001027168.1|DMEL	LOC6552159|XP_001980711.1|DERE
OG0000000	CG33687|NP_001027130.2|DMEL	LOC6544810|XP_026832924.1|DERE
OG0000000	CG33690|NP_001368948.1|DMEL	LOC6544813|XP_001973192.2|DERE
OG0000000	CG33689|NP_001027132.2|DMEL	LOC6544812|XP_001973191.2|DERE
OG0000000	CG12849|NP_611969.2|DMEL	LOC6548572|XP_026836220.1|DERE
OG0000000	CG33654|NP_001027165.1|DMEL	LOC6551988|XP_026839788.1|DERE
OG0000000	CG33920|NP_001027214.1|DMEL	LOC6554923|XP_001981128.1|DERE
OG0000000	CG33773|NP_001027213.1|DMEL	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	CG33723|NP_001027235.1|DMEL	LOC6541136|XP_001969303.1|DERE
OG0000000	CG33658|NP_001027209.1|DMEL	LOC6554482|XP_001981927.3|DERE
OG0000000	CG33798|NP_001027414.1|DMEL	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE
OG0000000	CG33463|NP_995846.2|DMEL	LOC6548870|XP_001975456.3|DERE
OG0000000	CG33764|NP_001027107.1|DMEL	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE
OG0000000	CG33912|NP_001027139.1|DMEL	LOC6542210|XP_026835022.1|DERE
OG0000000	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE
OG0000000	CG33777|NP_001027108.1|DMEL	LOC6544187|XP_026833238.1|DERE
OG0000000	CG33721|NP_001036743.1|DMEL	LOC26526690|XP_015009401.1|DERE
OG0000000	CG33928|NP_001027276.1|DMEL	LOC6549399|XP_001974447.1|DERE
