Orthogroup	DMEL.longest_only	DSIM.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC6737447|XP_016031216.1|DSIM
OG0000000	CG33752|NP_001027409.1|DMEL	LOC6734181|XP_016027194.1|DSIM
OG0000000	CG33679|NP_001027273.1|DMEL	LOC6732391|XP_002079512.1|DSIM
OG0000000	CG33784|NP_001027169.1|DMEL	LOC6728685|XP_002104021.1|DSIM
OG0000000	CG33783|NP_001027168.1|DMEL	LOC6728686|XP_016035358.1|DSIM
OG0000000	CG33775|NP_001027410.1|DMEL	LOC6734183|XP_002081212.2|DSIM
OG0000000	CG33687|NP_001027130.2|DMEL	LOC6738254|XP_039150029.1|DSIM
OG0000000	CG33690|NP_001368948.1|DMEL	LOC6738257|XP_016032137.1|DSIM
OG0000000	CG33688|NP_001027131.1|DMEL	LOC6738255|XP_016032135.1|DSIM
OG0000000	CG33689|NP_001027132.2|DMEL	LOC6738256|XP_002085068.1|DSIM
OG0000000	CG12849|NP_611969.2|DMEL	LOC6736137|XP_002083037.1|DSIM
OG0000000	CG33654|NP_001027165.1|DMEL	LOC6728763|XP_002104098.1|DSIM
OG0000000	CG33920|NP_001027214.1|DMEL	LOC6730295|XP_016037057.1|DSIM
OG0000000	CG33773|NP_001027213.1|DMEL	LOC6730293|XP_039151545.1|DSIM
OG0000000	CG33723|NP_001027235.1|DMEL	LOC6731633|XP_002078773.1|DSIM
OG0000000	CG33658|NP_001027209.1|DMEL	LOC6729478|XP_002104788.3|DSIM
OG0000000	CG33798|NP_001027414.1|DMEL	LOC6734251|XP_039147854.1|DSIM
OG0000000	CG33463|NP_995846.2|DMEL	LOC6734670|XP_039148016.1|DSIM
OG0000000	CG33764|NP_001027107.1|DMEL	LOC27209298|XP_016030381.1|DSIM
OG0000000	CG33912|NP_001027139.1|DMEL	LOC6738897|XP_002085692.1|DSIM
OG0000000	CG33632|NP_001036537.1|DMEL	LOC6734178|XP_002081207.1|DSIM
OG0000000	CG33923|NP_001027216.2|DMEL	LOC6730565|XP_016023011.1|DSIM
OG0000000	CG33922|NP_001027217.1|DMEL	LOC6730566|XP_002077745.1|DSIM
OG0000000	CG33777|NP_001027108.1|DMEL	LOC6736799|XP_039149212.1|DSIM
OG0000000	CG33483|NP_001189327.1|DMEL	LOC6730282|XP_002105565.2|DSIM
OG0000000	CG33648|NP_001027265.2|DMEL	LOC6732333|XP_039152942.1|DSIM
OG0000000	CG33721|NP_001036743.1|DMEL	LOC6729069|XP_016035716.1|DSIM
OG0000000	CG33928|NP_001027276.1|DMEL	LOC6732608|XP_002079727.1|DSIM
OG0000000	CG33454|NP_995887.1|DMEL	LOC6735227|XP_002082200.1|DSIM
OG0000000	CG33453|NP_995888.1|DMEL	LOC6735228|XP_002082201.1|DSIM
OG0000000	CG13590|NP_611919.1|DMEL	LOC6736069|XP_002082970.1|DSIM
OG0000000	CG13589|NP_611918.2|DMEL	LOC6736068|XP_002082969.1|DSIM
OG0000000	CG14518|NP_651653.2|DMEL	LOC6729989|XP_002105283.1|DSIM
OG0000000	CG33927|NP_001027147.1|DMEL	LOC6726722|XP_002102133.3|DSIM
OG0000000	CG33796|NP_001027128.1|DMEL	LOC6738252|XP_002085064.1|DSIM
OG0000000	CG33795|NP_001027129.2|DMEL	LOC6738253|XP_039150090.1|DSIM
OG0000000	CG33725|NP_001027125.1|DMEL	LOC6737828|XP_002084656.1|DSIM
OG0000002	CG5550|NP_001246376.1|DMEL	LOC6734821|XP_002081824.1|DSIM
OG0000002	CG30281|NP_726164.1|DMEL	LOC6735666|XP_002082584.2|DSIM
OG0000002	CG30280|NP_611641.6|DMEL	LOC6735665|XP_002082583.2|DSIM
OG0000002	CG7668|NP_649170.1|DMEL	LOC6738777|XP_016032596.1|DSIM
OG0000002	CG9500|NP_609018.3|DMEL	LOC6731201|XP_002078360.1|DSIM
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC6734558|XP_002081567.1|DSIM
OG0000003	Cyp6a21|NP_611003.2|DMEL	LOC6734560|XP_016027665.1|DSIM
OG0000003	Cyp6a18|NP_651563.1|DMEL	LOC6729847|XP_016036585.1|DSIM
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC6734561|XP_002081570.1|DSIM
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC6733269|XP_002080332.1|DSIM
OG0000003	Cyp6a17|NP_652018.1|DMEL	LOC6734555|XP_002081564.3|DSIM
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC6734554|XP_039147555.1|DSIM
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC6733557|XP_016026506.1|DSIM
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC6731100|XP_002078257.3|DSIM
OG0000004	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM
OG0000005	His2B_CG33870|NP_001027380.1|DMEL	LOC120285808|XP_039154358.1|DSIM
OG0000005	His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL	LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM
OG0000005	His2B_CG33876|NP_001027365.1|DMEL	LOC120285804|XP_039154354.1|DSIM
OG0000005	His2B_CG33882|NP_001027350.1|DMEL	LOC120285279|XP_039152693.1|DSIM
OG0000005	His2B_CG33896|NP_001027315.1|DMEL	LOC120285547|XP_039154137.1|DSIM
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC120285545|XP_039154135.1|DSIM
OG0000006	His2A_CG33847|NP_001027356.1|DMEL	LOC120285803|XP_039154353.1|DSIM
OG0000006	His2A_CG33832|NP_001027331.1|DMEL	LOC120285801|XP_039154351.1|DSIM
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC27208095|XP_016025859.1|DSIM
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC6736955|XP_002083802.1|DSIM
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC6736956|XP_002083803.1|DSIM
OG0000007	yip7|NP_523944.1|DMEL	LOC6736953|XP_002083800.1|DSIM
OG0000007	CG10477|NP_648010.1|DMEL	LOC6736952|XP_002083799.1|DSIM
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC6731020|XP_002078181.1|DSIM
OG0000007	Jon44E|NP_724699.1|DMEL	LOC6733581|XP_002080635.1|DSIM
OG0000007	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL	LOC6730231|XP_002105514.2|DSIM
OG0000007	Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL	LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC6731021|XP_002078182.1|DSIM
OG0000007	Jon66Cii|NP_648217.1|DMEL	LOC6737273|XP_039149649.1|DSIM
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC27206286|XP_016030986.1|DSIM
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC6731019|XP_002078180.2|DSIM
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC6736957|XP_016030597.1|DSIM
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC27207276|XP_016030598.2|DSIM
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC6727443|XP_016034017.1|DSIM
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC6736741|XP_002083597.1|DSIM
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC6736744|XP_016030372.1|DSIM
OG0000008	Crys|NP_476906.1|DMEL	LOC6732025|XP_039148682.1|DSIM
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC6736742|XP_002083598.1|DSIM
OG0000008	Cpr5C|NP_572266.1|DMEL	LOC6725212|XP_002106235.2|DSIM
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC6726998|XP_016033494.2|DSIM
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC6726996|XP_002102397.1|DSIM
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC6726997|XP_002102398.2|DSIM
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC6726995|XP_002102396.1|DSIM
OG0000009	CG11453|NP_650832.1|DMEL	LOC6727419|XP_002102801.1|DSIM
OG0000009	CG11391|NP_650830.1|DMEL	LOC6727422|XP_002102804.2|DSIM
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL	LOC6727423|XP_016033975.1|DSIM
OG0000009	CG11407|NP_650831.1|DMEL	LOC6727420|XP_002102802.1|DSIM
OG0000009	CG5568|NP_647992.1|DMEL	LOC6736925|XP_002083772.1|DSIM
OG0000009	CG18586|NP_647993.2|DMEL	LOC6736926|XP_002083773.1|DSIM
OG0000009	CG4563|NP_611913.1|DMEL	LOC6736062|XP_002082963.1|DSIM
OG0000009	CG4830|NP_650160.1|DMEL	LOC6728414|XP_016035007.1|DSIM
OG0000009	CG8834|NP_610779.1|DMEL	LOC6734157|XP_002081186.1|DSIM
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC120285280|XP_039152696.1|DSIM
OG0000010	His4_CG33885|NP_001027342.1|DMEL	LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM
OG0000011	CG44002|NP_608754.1|DMEL	LOC6730831|XP_002077997.2|DSIM
OG0000011	CG15436|NP_608840.1|DMEL	LOC27207823|XP_016023441.1|DSIM
OG0000011	Neu2|NP_649316.1|DMEL	LOC27206207|XP_039149631.1|DSIM
OG0000011	CG4318|NP_572860.2|DMEL	LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM
OG0000011	CG17361|NP_648678.3|DMEL	LOC6737998|XP_002084813.2|DSIM
OG0000011	CG17359|NP_648679.1|DMEL	LOC27206230|XP_016031794.1|DSIM
OG0000011	CG8319|NP_649920.2|DMEL	LOC6728756|XP_002104091.1|DSIM
OG0000012	CG9416|NP_611415.2|DMEL	LOC6735247|XP_016028572.1|DSIM
OG0000012	CG10051|NP_611414.1|DMEL	LOC6735246|XP_016028570.1|DSIM
OG0000012	CG11961|NP_725876.1|DMEL	LOC6735245|XP_016028569.1|DSIM
OG0000012	CG10062|NP_001261089.1|DMEL	LOC6735248|XP_016028574.1|DSIM
OG0000012	CG10081|NP_611418.1|DMEL	LOC6735250|XP_002082223.1|DSIM
OG0000012	CG10073|NP_001261090.1|DMEL	LOC6735249|XP_016028575.1|DSIM
OG0000012	CG30047|NP_725141.1|DMEL	LOC6734131|XP_002081160.1|DSIM
OG0000012	CG30049|NP_725142.3|DMEL	LOC6734132|XP_016027145.1|DSIM
OG0000012	CG30043|NP_725143.1|DMEL	LOC6734133|XP_002081162.3|DSIM
OG0000012	CG33012|NP_788335.2|DMEL	LOC6734135|XP_002081164.1|DSIM
OG0000012	CG13160|NP_001260918.1|DMEL	LOC6734136|XP_016027147.1|DSIM
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC6734455|XP_002081474.1|DSIM
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC6725717|XP_016038992.1|DSIM
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC6728006|XP_016034604.1|DSIM
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC6737992|XP_016031791.1|DSIM
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC6728269|XP_002103618.2|DSIM
OG0000013	Hsp68|NP_524474.1|DMEL	LOC6729335|XP_016035977.1|DSIM
