Orthogroup	DMEL.longest_only	DSEC.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC6605054|XP_032575159.1|DSEC
OG0000000	CG33752|NP_001027409.1|DMEL	LOC116800509|XP_032571804.1|DSEC
OG0000000	CG33679|NP_001027273.1|DMEL	LOC6611330|XP_002035877.1|DSEC
OG0000000	CG33784|NP_001027169.1|DMEL	LOC6606995|XP_002031784.1|DSEC
OG0000000	CG33775|NP_001027410.1|DMEL	LOC6608865|XP_002033579.1|DSEC
OG0000000	CG33687|NP_001027130.2|DMEL	LOC6605884|XP_032575999.1|DSEC
OG0000000	CG33690|NP_001368948.1|DMEL	LOC6605885|XP_032575997.1|DSEC
OG0000000	CG33688|NP_001027131.1|DMEL	LOC116800964|XP_032573791.1|DSEC
OG0000000	CG33689|NP_001027132.2|DMEL	LOC116801306|XP_032575998.1|DSEC
OG0000000	CG12849|NP_611969.2|DMEL	LOC6618886|XP_002043134.2|DSEC
OG0000000	CG33654|NP_001027165.1|DMEL	LOC6607083|XP_032579519.1|DSEC
OG0000000	CG33920|NP_001027214.1|DMEL	LOC6612938|XP_032579196.1|DSEC
OG0000000	CG33773|NP_001027213.1|DMEL	LOC6612936|XP_002037428.1|DSEC
OG0000000	CG33723|NP_001027235.1|DMEL	LOC6611813|XP_002036335.1|DSEC
OG0000000	CG33658|NP_001027209.1|DMEL	LOC6607813|XP_032578052.1|DSEC
OG0000000	CG33798|NP_001027414.1|DMEL	LOC6608931|XP_002033645.2|DSEC
OG0000000	CG33463|NP_995846.2|DMEL	LOC6609340|XP_032572102.1|DSEC
OG0000000	CG33764|NP_001027107.1|DMEL	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC
OG0000000	CG33912|NP_001027139.1|DMEL	LOC6616347|XP_002040707.1|DSEC
OG0000000	CG33632|NP_001036537.1|DMEL	LOC116800542|XP_032571951.1|DSEC
OG0000000	CG33922|NP_001027217.1|DMEL	LOC116803586|XP_032583371.1|DSEC
OG0000000	CG33777|NP_001027108.1|DMEL	LOC116801073|XP_032574487.1|DSEC
OG0000000	CG33483|NP_001189327.1|DMEL	LOC6612925|XP_002037417.1|DSEC
OG0000000	CG33648|NP_001027265.2|DMEL	LOC6611281|XP_032582965.1|DSEC
OG0000000	CG33721|NP_001036743.1|DMEL	LOC116801718|XP_032578762.1|DSEC
OG0000000	CG33928|NP_001027276.1|DMEL	LOC6614481|XP_002038914.1|DSEC
OG0000000	CG33454|NP_995887.1|DMEL	LOC6609904|XP_032570140.1|DSEC
OG0000000	CG33453|NP_995888.1|DMEL	LOC6609905|XP_032572518.1|DSEC
OG0000000	CG13590|NP_611919.1|DMEL	LOC6618816|XP_002043065.1|DSEC
OG0000000	CG13589|NP_611918.2|DMEL	LOC6618815|XP_002043064.1|DSEC
OG0000000	CG14518|NP_651653.2|DMEL	LOC6612634|XP_002037138.2|DSEC
OG0000000	CG33927|NP_001027147.1|DMEL	LOC6613854|XP_002038323.1|DSEC
OG0000000	CG33725|NP_001027125.1|DMEL	LOC6605446|XP_002030279.1|DSEC
OG0000002	CG5550|NP_001246376.1|DMEL	LOC6609498|XP_002034183.1|DSEC
OG0000002	CG30281|NP_726164.1|DMEL	LOC6615482|XP_002039862.2|DSEC
OG0000002	CG30280|NP_611641.6|DMEL	LOC6615481|XP_002039861.2|DSEC
OG0000002	CG31832|NP_723894.2|DMEL	LOC6611325|XP_002035872.2|DSEC
OG0000002	CG7668|NP_649170.1|DMEL	LOC6619439|XP_032575015.1|DSEC
OG0000002	CG9500|NP_609018.3|DMEL	LOC6613615|XP_032570344.1|DSEC
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC6609226|XP_032570279.1|DSEC
OG0000003	Cyp6a21|NP_611003.2|DMEL	LOC6609227|XP_002033918.2|DSEC
OG0000003	Cyp6a18|NP_651563.1|DMEL	LOC6617182|XP_002041509.2|DSEC
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC6609229|XP_032570278.1|DSEC
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC6607893|XP_002032647.1|DSEC
OG0000003	Cyp6a17|NP_652018.1|DMEL	LOC6609222|XP_002033913.1|DSEC
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC6609221|XP_002033912.1|DSEC
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC6608196|XP_002032941.1|DSEC
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC6613508|XP_002037976.1|DSEC
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC116800972|XP_032573823.1|DSEC
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC6610954|XP_002035511.1|DSEC
OG0000007	yip7|NP_523944.1|DMEL	LOC6610952|XP_032575303.1|DSEC
OG0000007	CG10477|NP_648010.1|DMEL	LOC6610951|XP_002035508.1|DSEC
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC6613406|XP_032583270.1|DSEC
OG0000007	Jon44E|NP_724699.1|DMEL	LOC6608215|XP_032572281.1|DSEC
