Orthogroup	DMEL.longest_only	DMAU.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC117141546|XP_033160941.1|DMAU
OG0000000	CG33752|NP_001027409.1|DMEL	LOC117138434|XP_033156436.1|DMAU
OG0000000	CG33679|NP_001027273.1|DMEL	LOC117149958|XP_033172750.1|DMAU
OG0000000	CG33784|NP_001027169.1|DMEL	LOC117145817|XP_033167509.1|DMAU
OG0000000	CG33783|NP_001027168.1|DMEL	LOC117145797|XP_033167474.1|DMAU
OG0000000	CG33775|NP_001027410.1|DMEL	LOC117138309|XP_033156204.1|DMAU
OG0000000	CG33687|NP_001027130.2|DMEL	LOC117139148|XP_033157197.1|DMAU
OG0000000	CG33690|NP_001368948.1|DMEL	LOC117139149|XP_033157198.1|DMAU
OG0000000	CG33689|NP_001027132.2|DMEL	LOC117140540|XP_033159421.1|DMAU
OG0000000	CG12849|NP_611969.2|DMEL	LOC117138648|XP_033156758.1|DMAU
OG0000000	CG33654|NP_001027165.1|DMEL	LOC117144786|XP_033166045.1|DMAU
OG0000000	CG33920|NP_001027214.1|DMEL	LOC117142325|XP_033162128.1|DMAU
OG0000000	CG33773|NP_001027213.1|DMEL	LOC117142327|XP_033162129.1|DMAU
OG0000000	CG33723|NP_001027235.1|DMEL	LOC117136304|XP_033153082.1|DMAU
OG0000000	CG33658|NP_001027209.1|DMEL	LOC117145451|XP_033167010.1|DMAU
OG0000000	CG33798|NP_001027414.1|DMEL	LOC117137412|XP_033154732.1|DMAU
OG0000000	CG33463|NP_995846.2|DMEL	LOC117138341|XP_033156269.1|DMAU
OG0000000	CG33764|NP_001027107.1|DMEL	LOC117140233|XP_033158923.1|DMAU
OG0000000	CG33912|NP_001027139.1|DMEL	LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU
OG0000000	CG33632|NP_001036537.1|DMEL	LOC117136161|XP_033152774.1|DMAU
OG0000000	CG33923|NP_001027216.2|DMEL	LOC117150663|XP_033173544.1|DMAU
OG0000000	CG33777|NP_001027108.1|DMEL	LOC117139179|XP_033157239.1|DMAU
OG0000000	CG33483|NP_001189327.1|DMEL	LOC117145225|XP_033166688.1|DMAU
OG0000000	CG33721|NP_001036743.1|DMEL	LOC117145856|XP_033167567.1|DMAU
OG0000000	CG33928|NP_001027276.1|DMEL	LOC117150929|XP_033173982.1|DMAU
OG0000000	CG33454|NP_995887.1|DMEL	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU
OG0000000	CG33453|NP_995888.1|DMEL	LOC117138584|XP_033156654.1|DMAU
OG0000000	CG13590|NP_611919.1|DMEL	LOC117138016|XP_033155711.1|DMAU
OG0000000	CG14518|NP_651653.2|DMEL	LOC117146038|XP_033167862.1|DMAU
OG0000000	CG33927|NP_001027147.1|DMEL	LOC117145160|XP_033166598.1|DMAU
OG0000000	CG33796|NP_001027128.1|DMEL	LOC117140539|XP_033159419.1|DMAU
OG0000000	CG33795|NP_001027129.2|DMEL	LOC117140538|XP_033159418.1|DMAU
OG0000002	CG5550|NP_001246376.1|DMEL	LOC117138082|XP_033155798.1|DMAU
OG0000002	CG30281|NP_726164.1|DMEL	LOC117135907|XP_033152364.1|DMAU
OG0000002	CG30280|NP_611641.6|DMEL	LOC117135906|XP_033152363.1|DMAU
OG0000002	CG31832|NP_723894.2|DMEL	LOC117149870|XP_033172720.1|DMAU
OG0000002	CG7668|NP_649170.1|DMEL	LOC117140283|XP_033159002.1|DMAU
OG0000002	CG9500|NP_609018.3|DMEL	LOC117136934|XP_033153971.1|DMAU
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC117136850|XP_033153839.1|DMAU
OG0000003	Cyp6a21|NP_611003.2|DMEL	LOC117137895|XP_033155524.1|DMAU
OG0000003	Cyp6a18|NP_651563.1|DMEL	LOC117145313|XP_033166799.1|DMAU
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC117137897|XP_033155527.1|DMAU
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC117136364|XP_033153130.1|DMAU
OG0000003	Cyp6a17|NP_652018.1|DMEL	LOC117136849|XP_033153838.1|DMAU
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC117136851|XP_033153841.1|DMAU
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC117137104|XP_033154281.1|DMAU
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC117138777|XP_033156858.1|DMAU
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC117142070|XP_033161841.1|DMAU
OG0000007	CG10477|NP_648010.1|DMEL	LOC117140665|XP_033159603.1|DMAU
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC117150742|XP_033173667.1|DMAU
OG0000007	Jon44E|NP_724699.1|DMEL	LOC117136894|XP_033153899.1|DMAU
OG0000007	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL	LOC117144956|XP_033166302.1|DMAU
OG0000007	Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC117139714|XP_033158125.1|DMAU
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC117139147|XP_033157196.1|DMAU
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC117139091|XP_033157106.1|DMAU
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC117142071|XP_033161842.1|DMAU
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC117142072|XP_033161843.1|DMAU
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC117142833|XP_033162955.1|DMAU
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC117140615|XP_033159521.1|DMAU
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC117140614|XP_033159520.1|DMAU
OG0000008	Crys|NP_476906.1|DMEL	LOC117150767|XP_033173694.1|DMAU
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC117140617|XP_033159524.1|DMAU
OG0000008	Cpr5C|NP_572266.1|DMEL	LOC117147420|XP_033170189.1|DMAU
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC117144387|XP_033165412.1|DMAU
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC117143719|XP_033164408.1|DMAU
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC117144386|XP_033165411.1|DMAU
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC117143928|XP_033164736.1|DMAU
OG0000009	CG11453|NP_650832.1|DMEL	LOC117145423|XP_033166959.1|DMAU
OG0000009	CG11391|NP_650830.1|DMEL	LOC117143759|XP_033164466.1|DMAU
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL	LOC117145633|XP_033167244.1|DMAU
OG0000009	CG11407|NP_650831.1|DMEL	LOC117145422|XP_033166958.1|DMAU
OG0000009	CG5568|NP_647992.1|DMEL	LOC117141397|XP_033160707.1|DMAU
OG0000009	CG18586|NP_647993.2|DMEL	LOC117141398|XP_033160708.1|DMAU
OG0000009	CG4563|NP_611913.1|DMEL	LOC117136735|XP_033153656.1|DMAU
OG0000009	CG4830|NP_650160.1|DMEL	LOC117143616|XP_033164265.1|DMAU
OG0000009	CG8834|NP_610779.1|DMEL	LOC117135792|XP_033152175.1|DMAU
OG0000010	His4_CG33893|NP_001027322.1|DMEL, His4_CG33895|NP_001027317.1|DMEL, His4_CG33903|NP_001027297.1|DMEL, His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL, His4_CG33871|NP_001027377.1|DMEL, His4_CG33887|NP_001027337.1|DMEL, His4_CG33875|NP_001027367.1|DMEL, His4_CG33901|NP_001027302.1|DMEL, His4_CG33889|NP_001027332.1|DMEL, His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL, His4_CG33899|NP_001027307.1|DMEL	LOC117142722|XP_033162774.1|DMAU
OG0000011	CG44002|NP_608754.1|DMEL	LOC117148158|XP_033171286.1|DMAU
OG0000011	CG15436|NP_608840.1|DMEL	LOC117138313|XP_033156221.1|DMAU
OG0000011	Neu2|NP_649316.1|DMEL	LOC117140362|XP_033159107.1|DMAU
OG0000011	CG4318|NP_572860.2|DMEL	LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	CG17361|NP_648678.3|DMEL	LOC117141063|XP_033160242.1|DMAU
OG0000011	CG17359|NP_648679.1|DMEL	LOC117141062|XP_033160241.1|DMAU
OG0000011	CG8319|NP_649920.2|DMEL	LOC117143493|XP_033164098.1|DMAU
OG0000012	CG9416|NP_611415.2|DMEL	LOC117136761|XP_033153688.1|DMAU
OG0000012	CG10051|NP_611414.1|DMEL	LOC117136760|XP_033153687.1|DMAU
OG0000012	CG11961|NP_725876.1|DMEL	LOC117136898|XP_033153902.1|DMAU
OG0000012	CG10062|NP_001261089.1|DMEL	LOC117137864|XP_033155471.1|DMAU
OG0000012	CG10081|NP_611418.1|DMEL	LOC117137455|XP_033154790.1|DMAU
OG0000012	CG10073|NP_001261090.1|DMEL	LOC117136643|XP_033153526.1|DMAU
OG0000012	CG30047|NP_725141.1|DMEL	LOC117136387|XP_033153170.1|DMAU
OG0000012	CG30049|NP_725142.3|DMEL	LOC117136474|XP_033153296.1|DMAU
OG0000012	CG30043|NP_725143.1|DMEL	LOC117136403|XP_033153190.1|DMAU
OG0000012	CG33012|NP_788335.2|DMEL	LOC117137795|XP_033155358.1|DMAU
OG0000012	CG13160|NP_001260918.1|DMEL	LOC117137796|XP_033155359.1|DMAU
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC117136473|XP_033153295.1|DMAU
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC117148236|XP_033171424.1|DMAU
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC117142434|XP_033162286.1|DMAU
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC117141743|XP_033161255.1|DMAU
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC117143333|XP_033163884.1|DMAU
OG0000013	Hsp68|NP_524474.1|DMEL	LOC117142344|XP_033162152.1|DMAU
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000015	lectin-37Db|NP_001188847.1|DMEL	LOC117135278|XP_033151337.1|DMAU
OG0000015	lectin-24A|NP_652637.1|DMEL	LOC117150991|XP_033174086.1|DMAU
OG0000015	lectin-22C|NP_001137766.1|DMEL	LOC117150915|XP_033173958.1|DMAU
OG0000015	CG15358|NP_608629.3|DMEL	LOC117143744|XP_033164450.1|DMAU
OG0000015	CG15818|NP_609116.1|DMEL	LOC117140156|XP_033158823.1|DMAU
OG0000015	CG7763|NP_001356891.1|DMEL	LOC117137056|XP_033154159.1|DMAU
