Orthogroup	DMEL.longest_only	DMIR.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC108150869|XP_017134661.1|DMIR
OG0000000	CG33752|NP_001027409.1|DMEL	LOC117187734|XP_033246410.1|DMIR
OG0000000	CG33679|NP_001027273.1|DMEL	LOC108158045|XP_017145679.2|DMIR
OG0000000	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	CG33687|NP_001027130.2|DMEL	LOC117185812|XP_033243800.1|DMIR
OG0000000	CG33690|NP_001368948.1|DMEL	LOC108165373|XP_017156898.2|DMIR
OG0000000	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL	LOC108151290|XP_017135310.1|DMIR
OG0000000	CG12849|NP_611969.2|DMEL	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL	LOC108153842|XP_033245237.1|DMIR
OG0000000	CG33773|NP_001027213.1|DMEL	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	CG33648|NP_001027265.2|DMEL	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR
OG0000000	CG33721|NP_001036743.1|DMEL	LOC108153951|XP_017139538.1|DMIR
OG0000000	CG33928|NP_001027276.1|DMEL	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	CG14518|NP_651653.2|DMEL	LOC108154608|XP_017140414.2|DMIR
OG0000002	CG30281|NP_726164.1|DMEL	LOC108159521|XP_017148375.1|DMIR
OG0000002	CG30280|NP_611641.6|DMEL	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	CG31832|NP_723894.2|DMEL	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR
OG0000002	CG7668|NP_649170.1|DMEL	LOC108152350|XP_017137109.1|DMIR
OG0000002	CG9500|NP_609018.3|DMEL	LOC108161232|XP_017150945.1|DMIR
OG0000003	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL	LOC108160528|XP_017150077.1|DMIR
OG0000003	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL	LOC108160529|XP_017150078.1|DMIR
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC108160375|XP_017149841.1|DMIR
OG0000003	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	Cyp6a19|NP_611001.2|DMEL	LOC108160818|XP_017150534.1|DMIR
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC108160275|XP_017149646.1|DMIR
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC108163634|XP_017154532.1|DMIR
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR
OG0000006	His2A_CG33865|NP_001027386.1|DMEL, His2A_CG33829|NP_001027326.1|DMEL, His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL, His2A_CG33844|NP_001027351.1|DMEL	LOC108156704|XP_017143842.2|DMIR
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC108152481|XP_017137344.1|DMIR
OG0000007	yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL	LOC108152482|XP_017137345.1|DMIR
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC108163948|XP_017154978.1|DMIR
OG0000007	Jon44E|NP_724699.1|DMEL	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC108164248|XP_017155372.1|DMIR
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC108165521|XP_017157067.1|DMIR
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC108164169|XP_017155268.2|DMIR
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC108152483|XP_017137346.1|DMIR
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC108152484|XP_017137347.1|DMIR
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC108154982|XP_017141010.1|DMIR
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC108151537|XP_017135681.1|DMIR
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC108151536|XP_017135679.1|DMIR
OG0000008	Crys|NP_476906.1|DMEL	LOC108161577|XP_017151355.1|DMIR
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC108151539|XP_017135683.2|DMIR
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC108154402|XP_017140161.1|DMIR
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC108153895|XP_033244232.1|DMIR
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC108154515|XP_017140305.2|DMIR
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC108153896|XP_017139483.1|DMIR
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC108154491|XP_017140280.1|DMIR
OG0000009	CG11453|NP_650832.1|DMEL	LOC108157813|XP_017145500.1|DMIR
OG0000009	CG11391|NP_650830.1|DMEL	LOC108154360|XP_017140115.1|DMIR
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	CG4563|NP_611913.1|DMEL	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	CG4830|NP_650160.1|DMEL	LOC108154377|XP_017140130.1|DMIR
OG0000009	CG8834|NP_610779.1|DMEL	LOC108160943|XP_017150721.1|DMIR
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC108156705|XP_033245573.1|DMIR
OG0000010	His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	His4_CG33883|NP_001027347.1|DMEL	LOC117187312|XP_033245576.1|DMIR
OG0000011	CG44002|NP_608754.1|DMEL, CG15436|NP_608840.1|DMEL, Neu2|NP_649316.1|DMEL, CG4318|NP_572860.2|DMEL	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR
OG0000011	CG17361|NP_648678.3|DMEL	LOC108165384|XP_017156911.1|DMIR
OG0000011	CG17359|NP_648679.1|DMEL	LOC108153161|XP_017138453.1|DMIR
OG0000011	CG8319|NP_649920.2|DMEL	LOC108154131|XP_017139754.1|DMIR
OG0000012	CG9416|NP_611415.2|DMEL	LOC108159199|XP_017147755.1|DMIR
OG0000012	CG10051|NP_611414.1|DMEL	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	CG11961|NP_725876.1|DMEL	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
