Orthogroup	DMEL.longest_only	DPSE.longest_only
OG0000000	CG33679|NP_001027273.1|DMEL	LOC6898698|XP_015040315.2|DPSE
OG0000000	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	CG33775|NP_001027410.1|DMEL	LOC6898695|XP_002138700.2|DPSE
OG0000000	CG33687|NP_001027130.2|DMEL	LOC117184977|XP_033240205.1|DPSE
OG0000000	CG33690|NP_001368948.1|DMEL	LOC6900000|XP_002135366.3|DPSE
OG0000000	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL	LOC6899999|XP_033240207.1|DPSE
OG0000000	CG12849|NP_611969.2|DMEL	LOC4804691|XP_001361210.2|DPSE
OG0000000	CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL	LOC6896672|XP_033232290.1|DPSE
OG0000000	CG33773|NP_001027213.1|DMEL	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	CG33648|NP_001027265.2|DMEL	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE
OG0000000	CG33721|NP_001036743.1|DMEL	LOC6897227|XP_002137399.2|DPSE
OG0000000	CG33928|NP_001027276.1|DMEL	LOC6902907|XP_033236216.1|DPSE
OG0000000	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	CG14518|NP_651653.2|DMEL	LOC4801605|XP_001358672.2|DPSE
OG0000002	CG30281|NP_726164.1|DMEL	LOC6899110|XP_033234698.1|DPSE
OG0000002	CG30280|NP_611641.6|DMEL	LOC6899111|XP_002139028.1|DPSE
OG0000002	CG31832|NP_723894.2|DMEL	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	CG7668|NP_649170.1|DMEL	LOC6900542|XP_033238667.1|DPSE
OG0000003	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL	LOC4804983|XP_001361457.3|DPSE
OG0000003	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL	LOC4804982|XP_001361456.3|DPSE
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC4803409|XP_001360156.1|DPSE
OG0000003	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	Cyp6a19|NP_611001.2|DMEL	LOC4804980|XP_001361454.1|DPSE
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC4804975|XP_001361450.3|DPSE
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC4804978|XP_001361452.2|DPSE
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC6902590|XP_002133118.2|DPSE
OG0000006	His2A_CG33826|NP_001027321.1|DMEL	LOC117185602|XP_033241630.1|DPSE
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	His2A_CG33820|NP_001027311.1|DMEL	LOC117185611|XP_033241640.1|DPSE
OG0000006	His2A_CG33841|NP_001027346.1|DMEL, His2A_CG33862|NP_001027381.1|DMEL, His2A_CG33838|NP_001027341.1|DMEL, His2A_CG33823|NP_001027316.1|DMEL, His2A_CG33865|NP_001027386.1|DMEL, His2A_CG33829|NP_001027326.1|DMEL, His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL, His2A_CG33844|NP_001027351.1|DMEL, His2A_CG33808|NP_001027292.1|DMEL	LOC117183581|XP_033233838.1|DPSE
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC5495512|XP_001353851.2|DPSE
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC5495507|XP_001353849.1|DPSE
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC5495509|XP_001355939.3|DPSE
OG0000007	Jon44E|NP_724699.1|DMEL	LOC4805058|XP_001361522.1|DPSE
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC4816610|XP_001355938.2|DPSE
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC4813941|XP_001354103.1|DPSE
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC4816998|XP_001356721.3|DPSE
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC4813497|XP_001353852.2|DPSE
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC4813468|XP_001353840.2|DPSE
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC4803265|XP_001360036.3|DPSE
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC6900302|XP_002135624.1|DPSE
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC6900304|XP_002135626.2|DPSE
OG0000008	Crys|NP_476906.1|DMEL	LOC6903158|XP_002132860.2|DPSE
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC4802270|XP_033239768.1|DPSE
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC4802267|XP_001359221.4|DPSE
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC117184116|XP_033236234.1|DPSE
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC4802269|XP_001359223.2|DPSE
OG0000009	CG11453|NP_650832.1|DMEL	LOC6897995|XP_002138092.2|DPSE
OG0000009	CG11391|NP_650830.1|DMEL	LOC4803283|XP_001360048.3|DPSE
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE
OG0000009	CG4563|NP_611913.1|DMEL	LOC4805603|XP_001361980.2|DPSE
OG0000009	CG4830|NP_650160.1|DMEL	LOC4802604|XP_001359493.2|DPSE
OG0000009	CG8834|NP_610779.1|DMEL	LOC4804281|XP_001360862.1|DPSE
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC117183603|XP_033233990.1|DPSE
OG0000010	His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL	LOC117185640|XP_033241727.1|DPSE
OG0000010	His4_CG33883|NP_001027347.1|DMEL	LOC26532676|XP_015035129.1|DPSE
OG0000011	CG44002|NP_608754.1|DMEL, CG15436|NP_608840.1|DMEL, Neu2|NP_649316.1|DMEL, CG4318|NP_572860.2|DMEL	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	CG17361|NP_648678.3|DMEL	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE
OG0000011	CG17359|NP_648679.1|DMEL	LOC6900040|XP_002135404.2|DPSE
OG0000011	CG8319|NP_649920.2|DMEL	LOC6897605|XP_002137750.2|DPSE
OG0000012	CG9416|NP_611415.2|DMEL	LOC4804261|XP_015039777.2|DPSE
OG0000012	CG10051|NP_611414.1|DMEL	LOC4804255|XP_001360842.2|DPSE
OG0000012	CG11961|NP_725876.1|DMEL	LOC4804254|XP_015039772.2|DPSE
OG0000012	CG10062|NP_001261089.1|DMEL	LOC6898436|XP_033233736.1|DPSE
