Orthogroup	DMEL.longest_only	DGUA.longest_only
OG0000000	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL	LOC117583189|XP_034127284.1|DGUA
OG0000000	CG33775|NP_001027410.1|DMEL	LOC117588815|XP_034136215.1|DGUA
OG0000000	CG33687|NP_001027130.2|DMEL	LOC117589025|XP_034136545.1|DGUA
OG0000000	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL	LOC117588940|XP_034136409.1|DGUA
OG0000000	CG12849|NP_611969.2|DMEL	LOC117592532|XP_034142283.1|DGUA
OG0000000	CG33773|NP_001027213.1|DMEL	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	CG33463|NP_995846.2|DMEL	LOC117583194|XP_034127289.1|DGUA
OG0000000	CG33721|NP_001036743.1|DMEL	LOC117583318|XP_034127468.1|DGUA
OG0000000	CG33928|NP_001027276.1|DMEL	LOC117582218|XP_034125717.1|DGUA
OG0000000	CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC117592359|XP_034141946.1|DGUA
OG0000000	CG14518|NP_651653.2|DMEL	LOC117589701|XP_034137755.1|DGUA
OG0000000	CG33725|NP_001027125.1|DMEL	LOC117592344|XP_034141927.1|DGUA
OG0000002	CG30281|NP_726164.1|DMEL	LOC117579099|XP_034120716.1|DGUA
OG0000002	CG30280|NP_611641.6|DMEL	LOC117579108|XP_034120728.1|DGUA
OG0000002	CG9500|NP_609018.3|DMEL	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000003	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL	LOC117592331|XP_034141917.1|DGUA
OG0000003	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL	LOC117592350|XP_034141940.1|DGUA
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC117578447|XP_034119862.1|DGUA
OG0000003	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL	LOC117583299|XP_034127435.1|DGUA
OG0000003	Cyp6a19|NP_611001.2|DMEL	LOC117592340|XP_034141928.1|DGUA
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC117583309|XP_034127448.1|DGUA
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC117583990|XP_034128606.1|DGUA
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC117587981|XP_034134880.1|DGUA
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC117591658|XP_034140872.1|DGUA
OG0000006	His2A_CG33841|NP_001027346.1|DMEL, His2A_CG33862|NP_001027381.1|DMEL, His2A_CG33838|NP_001027341.1|DMEL, His2A_CG33823|NP_001027316.1|DMEL, His2A_CG33865|NP_001027386.1|DMEL, His2A_CG33829|NP_001027326.1|DMEL, His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL, His2A_CG33844|NP_001027351.1|DMEL	LOC117591645|XP_034140861.1|DGUA
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC117587429|XP_034133994.1|DGUA
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC117587428|XP_034133991.1|DGUA
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC117584024|XP_034128652.1|DGUA
OG0000007	Jon44E|NP_724699.1|DMEL	LOC117592308|XP_034141873.1|DGUA
OG0000007	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL	LOC117583201|XP_034127296.1|DGUA
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC117584026|XP_034128654.1|DGUA
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC117587067|XP_034133401.1|DGUA
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC117584025|XP_034128653.1|DGUA
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC117587430|XP_034133997.1|DGUA
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC117587431|XP_034133998.1|DGUA
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC117586140|XP_034131924.1|DGUA
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC117579398|XP_034121168.1|DGUA
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC117579397|XP_034121167.1|DGUA
OG0000008	Crys|NP_476906.1|DMEL	LOC117581836|XP_034125174.1|DGUA
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC117579400|XP_034121171.1|DGUA
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC117586165|XP_034131957.1|DGUA
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC117586221|XP_034132048.1|DGUA
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC117586120|XP_034131875.1|DGUA
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC117586582|XP_034132641.1|DGUA
OG0000009	CG11453|NP_650832.1|DMEL	LOC117586341|XP_034132234.1|DGUA
OG0000009	CG11391|NP_650830.1|DMEL	LOC117586454|XP_034132388.1|DGUA
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	CG4563|NP_611913.1|DMEL	LOC117587230|XP_034133688.1|DGUA
OG0000009	CG4830|NP_650160.1|DMEL	LOC117586357|XP_034132268.1|DGUA
OG0000009	CG8834|NP_610779.1|DMEL	LOC117588654|XP_034135988.1|DGUA
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC117583778|XP_034128224.1|DGUA
