Orthogroup	DMEL.longest_only	DSER.longest_only
OG0000000	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL	LOC110188492|XP_020813881.1|DSER
OG0000000	CG33775|NP_001027410.1|DMEL	LOC110181445|XP_020804849.1|DSER
OG0000000	CG33687|NP_001027130.2|DMEL	LOC110190735|XP_020817016.1|DSER
OG0000000	CG33690|NP_001368948.1|DMEL	LOC110190738|XP_020817019.1|DSER
OG0000000	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL	LOC110190736|XP_020817017.1|DSER
OG0000000	CG12849|NP_611969.2|DMEL	LOC110184046|XP_020808080.1|DSER
OG0000000	CG33773|NP_001027213.1|DMEL	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL	LOC110184021|XP_020808046.1|DSER
OG0000000	CG33777|NP_001027108.1|DMEL	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER
OG0000000	CG33483|NP_001189327.1|DMEL	LOC110186288|XP_020811061.1|DSER
OG0000000	CG33648|NP_001027265.2|DMEL	LOC110185901|XP_020810577.1|DSER
OG0000000	CG33721|NP_001036743.1|DMEL	LOC110187976|XP_020813156.1|DSER
OG0000000	CG33928|NP_001027276.1|DMEL	LOC110184825|XP_020809128.1|DSER
OG0000000	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	CG14518|NP_651653.2|DMEL	LOC110177452|XP_020799845.1|DSER
OG0000000	CG33927|NP_001027147.1|DMEL	LOC110187957|XP_020813134.1|DSER
OG0000000	CG33796|NP_001027128.1|DMEL	LOC110190733|XP_020817014.1|DSER
OG0000000	CG33795|NP_001027129.2|DMEL	LOC110190479|XP_020816650.1|DSER
OG0000000	CG33725|NP_001027125.1|DMEL	LOC110185197|XP_020809581.1|DSER
OG0000002	CG5550|NP_001246376.1|DMEL	LOC110191937|XP_020818616.1|DSER
OG0000002	CG30281|NP_726164.1|DMEL	LOC110177829|XP_020800431.1|DSER
OG0000002	CG30280|NP_611641.6|DMEL	LOC110177830|XP_020800433.1|DSER
OG0000002	CG31832|NP_723894.2|DMEL	LOC110189677|XP_020815494.1|DSER
OG0000002	CG7668|NP_649170.1|DMEL	LOC110189091|XP_020814726.1|DSER
OG0000002	CG9500|NP_609018.3|DMEL	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC110177692|XP_020800174.1|DSER
OG0000003	Cyp6a21|NP_611003.2|DMEL	LOC110177680|XP_020800160.1|DSER
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC110177747|XP_020800264.1|DSER
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC110189782|XP_020815670.1|DSER
OG0000003	Cyp6a23|NP_611000.2|DMEL	LOC110177689|XP_020800171.1|DSER
OG0000003	Cyp6a19|NP_611001.2|DMEL	LOC110177694|XP_020800177.1|DSER
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC110177690|XP_020800172.1|DSER
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC110188514|XP_020813952.1|DSER
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC110182737|XP_020806498.1|DSER
OG0000004	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER
OG0000006	His2A_CG33832|NP_001027331.1|DMEL	LOC110182132|XP_020805800.1|DSER
OG0000006	His2A_CG33820|NP_001027311.1|DMEL	LOC110182133|XP_020805802.1|DSER
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC110181334|XP_020804711.1|DSER
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC110184727|XP_020809014.1|DSER
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC110184726|XP_020809013.1|DSER
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC110182363|XP_020806064.1|DSER
