Orthogroup	DMEL.longest_only	CCAP.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL, CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL, CG33775|NP_001027410.1|DMEL	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	CG33687|NP_001027130.2|DMEL, CG33690|NP_001368948.1|DMEL, CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL, CG12849|NP_611969.2|DMEL, CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL, CG33773|NP_001027213.1|DMEL, CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL, CG33798|NP_001027414.1|DMEL, CG33463|NP_995846.2|DMEL, CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL, CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL, CG33777|NP_001027108.1|DMEL, CG33483|NP_001189327.1|DMEL, CG33648|NP_001027265.2|DMEL, CG33721|NP_001036743.1|DMEL, CG33928|NP_001027276.1|DMEL	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL, CG33927|NP_001027147.1|DMEL, CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL, CG33725|NP_001027125.1|DMEL	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000002	CG7668|NP_649170.1|DMEL	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	CG9500|NP_609018.3|DMEL	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL, Cyp6a2|NP_523628.1|DMEL	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	Cyp6a22|NP_652075.1|DMEL	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	Cyp6a16|NP_001285631.1|DMEL	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	His2A_CG33820|NP_001027311.1|DMEL	CCAP1982_LOCUS6242|CAD6997606.1|CCAP
OG0000006	His2A_CG33865|NP_001027386.1|DMEL, His2A_CG33829|NP_001027326.1|DMEL, His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL, His2A_CG33844|NP_001027351.1|DMEL	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	Jon65Aiv|NP_648012.1|DMEL	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	Cpr92A|NP_650813.2|DMEL	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	Cpr64Aa|NP_647872.1|DMEL	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	Cpr64Ad|NP_647875.1|DMEL	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	Cpr64Ab|NP_647873.2|DMEL	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	Ccp84Ad|NP_649680.1|DMEL	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	Ccp84Af|NP_649678.1|DMEL	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	Ccp84Ac|NP_649681.1|DMEL	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	Ccp84Ae|NP_649679.1|DMEL	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	Ccp84Ag|NP_649677.1|DMEL	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	CG11453|NP_650832.1|DMEL	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	His4_CG33885|NP_001027342.1|DMEL	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	His4_CG33899|NP_001027307.1|DMEL	CCAP1982_LOCUS6248|CAD6997612.1|CCAP
OG0000010	His4_CG33883|NP_001027347.1|DMEL	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	CG9416|NP_611415.2|DMEL	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	CG10051|NP_611414.1|DMEL	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	CG11961|NP_725876.1|DMEL	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	CG10062|NP_001261089.1|DMEL	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
