Orthogroup	DMEL.longest_only	DYAK.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC6532541|XP_002093287.2|DYAK
OG0000000	CG33752|NP_001027409.1|DMEL	LOC26536205|XP_015052957.2|DYAK
OG0000000	CG33679|NP_001027273.1|DMEL	LOC6529038|XP_002090069.2|DYAK
OG0000000	CG33783|NP_001027168.1|DMEL	LOC6536475|XP_002097056.2|DYAK
OG0000000	CG33775|NP_001027410.1|DMEL	LOC6530087|XP_002091033.1|DYAK
OG0000000	CG33687|NP_001027130.2|DMEL	LOC6535099|XP_039229818.1|DYAK
OG0000000	CG33690|NP_001368948.1|DMEL	LOC6535097|XP_039229817.1|DYAK
OG0000000	CG33689|NP_001027132.2|DMEL	LOC6535098|XP_002095761.2|DYAK
OG0000000	CG12849|NP_611969.2|DMEL	LOC6532122|XP_002092898.3|DYAK
OG0000000	CG33920|NP_001027214.1|DMEL	LOC6538960|XP_002099463.2|DYAK
OG0000000	CG33773|NP_001027213.1|DMEL	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	CG33723|NP_001027235.1|DMEL	LOC6527857|XP_002088929.1|DYAK
OG0000000	CG33658|NP_001027209.1|DMEL	LOC26536234|XP_015048941.1|DYAK
OG0000000	CG33798|NP_001027414.1|DMEL	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	CG33463|NP_995846.2|DMEL	LOC6531513|XP_002092312.3|DYAK
OG0000000	CG33764|NP_001027107.1|DMEL	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK
OG0000000	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL	LOC6526414|XP_002087533.2|DYAK
OG0000000	CG33777|NP_001027108.1|DMEL	LOC6532990|XP_039229806.1|DYAK
OG0000000	CG33483|NP_001189327.1|DMEL	LOC6538949|XP_002099452.1|DYAK
