Orthogroup	DMEL.longest_only	HILL.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL, CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL, CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL, CG33775|NP_001027410.1|DMEL, CG33687|NP_001027130.2|DMEL, CG33690|NP_001368948.1|DMEL, CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL, CG12849|NP_611969.2|DMEL, CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL, CG33773|NP_001027213.1|DMEL, CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL, CG33798|NP_001027414.1|DMEL, CG33463|NP_995846.2|DMEL, CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL, CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL, CG33777|NP_001027108.1|DMEL, CG33483|NP_001189327.1|DMEL, CG33648|NP_001027265.2|DMEL, CG33721|NP_001036743.1|DMEL, CG33928|NP_001027276.1|DMEL, CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL, CG33927|NP_001027147.1|DMEL, CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL, CG33725|NP_001027125.1|DMEL	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000004	His1_CG33834|NP_001027334.1|DMEL, His1_CG33813|NP_001027299.1|DMEL, His1_CG33852|NP_001027364.1|DMEL, His1_CG33846|NP_001027354.1|DMEL, His1_CG33828|NP_001027324.1|DMEL, His1_CG33819|NP_001027309.1|DMEL, His1_CG33855|NP_001027369.1|DMEL, His1_CG33837|NP_001027339.1|DMEL, His1_CG33861|NP_001027379.1|DMEL, His1_CG33831|NP_001027329.1|DMEL, His1_CG33843|NP_001027349.1|DMEL, His1_CG33864|NP_001027384.1|DMEL, His1_CG33858|NP_001027374.1|DMEL, His1_CG33810|NP_001027295.1|DMEL, His1_CG33840|NP_001027344.1|DMEL, His1_CG33804|NP_001027286.1|DMEL, His1_CG33801|NP_001027282.1|DMEL, His1_CG33807|NP_001027290.1|DMEL, His1_CG33816|NP_001027304.1|DMEL, His1_CG33822|NP_001027314.1|DMEL, His1_CG33825|NP_001027319.1|DMEL, His1_CG33849|NP_001027359.1|DMEL, His1_CG31617|NP_724341.1|DMEL	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC119655070|XP_037916694.1|HILL, LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000007	Jon65Aiv|NP_648012.1|DMEL, Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL, Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL	LOC119653460|XP_037913999.1|HILL
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC119660223|XP_037924589.1|HILL
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC119649590|XP_037907727.1|HILL
OG0000008	Crys|NP_476906.1|DMEL	LOC119652756|XP_037912988.1|HILL
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC119649591|XP_037907728.1|HILL
