Orthogroup	DPER.longest_only	DMIR.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR
OG0000000	LOC6603460|XP_002028440.1|DPER	LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR
OG0000000	LOC6603459|XP_026842774.1|DPER	LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR
OG0000000	LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC6594749|XP_026851250.1|DPER	LOC108156429|XP_017143371.1|DMIR
OG0000000	LOC113567467|XP_026851261.1|DPER	LOC108154067|XP_033246013.1|DMIR
OG0000000	LOC6594748|XP_026851256.1|DPER	LOC108154066|XP_033246011.1|DMIR
OG0000000	LOC6593032|XP_002017709.2|DPER	LOC108158063|XP_017145701.1|DMIR
OG0000000	LOC6593087|XP_026841436.1|DPER	LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR
OG0000000	LOC6593031|XP_026841437.1|DPER	LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC6595061|XP_026851238.1|DPER	LOC108154065|XP_033245991.1|DMIR
OG0000000	LOC6595060|XP_002020414.2|DPER	LOC117187434|XP_033245992.1|DMIR
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC6592855|XP_026840797.1|DPER	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC108154608|XP_017140414.2|DMIR
OG0000000	LOC113564894|XP_026839940.1|DPER	LOC108154051|XP_017139631.2|DMIR
OG0000000	LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER	LOC108154052|XP_017139633.1|DMIR
OG0000000	LOC6591953|XP_026851182.1|DPER	LOC108153871|XP_033244797.1|DMIR
OG0000000	LOC6592013|XP_002017508.2|DPER	LOC108153866|XP_017139453.1|DMIR
OG0000000	LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER	LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR
OG0000000	LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER	LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR
OG0000000	LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER	LOC108153868|XP_017139455.1|DMIR
OG0000000	LOC6598646|XP_026840107.1|DPER	LOC108154010|XP_033246058.1|DMIR
OG0000001	LOC113566438|XP_026847737.1|DPER	LOC117192640|XP_033253257.1|DMIR
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC108161412|XP_017151153.2|DMIR
OG0000002	LOC6593573|XP_002019253.2|DPER	LOC108161232|XP_017150945.1|DMIR
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC6591234|XP_002016680.1|DPER	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR
OG0000003	LOC6591233|XP_002016679.1|DPER	LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC6591237|XP_026840952.1|DPER	LOC108160277|XP_033246842.1|DMIR
OG0000003	LOC6591238|XP_002016684.1|DPER	LOC108160733|XP_017150409.1|DMIR
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC108163634|XP_017154532.1|DMIR
OG0000004	LOC113565362|XP_026842912.1|DPER	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR
OG0000004	LOC6587537|XP_002013115.1|DPER	LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR
OG0000004	LOC6599392|XP_026847172.1|DPER, LOC6599399|XP_026847197.1|DPER	LOC117187175|XP_033245162.1|DMIR, LOC117186051|XP_033242021.1|DMIR
OG0000005	LOC113567029|XP_026850041.1|DPER	LOC117187304|XP_033245566.1|DMIR
OG0000005	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR
OG0000006	LOC113567411|XP_026850946.1|DPER	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC108153675|XP_017139280.1|DMIR
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC108152481|XP_017137344.1|DMIR
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC6595006|XP_002020463.1|DPER	LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR
OG0000007	LOC6595005|XP_002020462.1|DPER	LOC108157499|XP_017145088.2|DMIR
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC108165521|XP_017157067.1|DMIR
