Orthogroup	DPER.longest_only	DSER.longest_only
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER	LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC6591955|XP_026851194.1|DPER	LOC110177976|XP_020800628.1|DSER
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC110184909|XP_020809214.1|DSER
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC110177694|XP_020800177.1|DSER, LOC110177698|XP_020800183.1|DSER
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000005	LOC6587310|XP_002013132.1|DPER	LOC110182160|XP_020805822.1|DSER
OG0000005	LOC113567420|XP_026850959.1|DPER	LOC110180660|XP_020804010.1|DSER
OG0000005	LOC113567249|XP_026850219.1|DPER	LOC110180704|XP_020804042.1|DSER
