Orthogroup	DPER.longest_only	DMEL.longest_only
OG0000000	LOC6603458|XP_002028438.2|DPER	CG33679|NP_001027273.1|DMEL
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC6603462|XP_002028442.1|DPER	CG33775|NP_001027410.1|DMEL
OG0000000	LOC6599796|XP_002024966.2|DPER	CG33687|NP_001027130.2|DMEL
OG0000000	LOC6592293|XP_002018412.1|DPER	CG12849|NP_611969.2|DMEL
OG0000000	LOC6594745|XP_002020397.2|DPER	CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	CG33773|NP_001027213.1|DMEL
OG0000000	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER	CG33648|NP_001027265.2|DMEL
OG0000000	LOC6588283|XP_026842223.1|DPER	CG33721|NP_001036743.1|DMEL
OG0000000	LOC113565649|XP_026844091.1|DPER	CG33928|NP_001027276.1|DMEL
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC6587480|XP_002013644.2|DPER	CG14518|NP_651653.2|DMEL
OG0000002	LOC6601614|XP_002026650.2|DPER	CG30281|NP_726164.1|DMEL
OG0000002	LOC6601615|XP_026841465.1|DPER	CG30280|NP_611641.6|DMEL
OG0000002	LOC6595741|XP_026845259.1|DPER	CG7668|NP_649170.1|DMEL
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	CG9500|NP_609018.3|DMEL
OG0000003	LOC6591231|XP_002016677.1|DPER	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC6590819|XP_026841177.1|DPER	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC6590049|XP_002015522.1|DPER	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC6591232|XP_002016678.1|DPER	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC6591235|XP_002016681.1|DPER	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC6591236|XP_002016682.2|DPER	Cyp6a13|NP_610390.1|DMEL
