Orthogroup	DPER.longest_only	DSEC.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC6606995|XP_002031784.1|DSEC
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER	LOC6611281|XP_032582965.1|DSEC
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC6612634|XP_002037138.2|DSEC
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC116800691|XP_032572969.1|DSEC
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC6610954|XP_002035511.1|DSEC
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC6613406|XP_032583270.1|DSEC
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC6604870|XP_002029715.1|DSEC
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC6613405|XP_032574637.1|DSEC
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC6610955|XP_032575304.1|DSEC
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC6619063|XP_002043304.1|DSEC
