Orthogroup	DPER.longest_only	DSIM.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC6595014|XP_026839995.1|DPER	LOC6736070|XP_039148852.1|DSIM
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC6729989|XP_002105283.1|DSIM
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC6731100|XP_002078257.3|DSIM
OG0000006	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC113567401|XP_026850929.1|DPER	LOC6740317|XP_002077189.3|DSIM
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC120285799|XP_039154349.1|DSIM, LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC6736956|XP_002083803.1|DSIM
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC6731020|XP_002078181.1|DSIM
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC27206286|XP_016030986.1|DSIM
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC6731019|XP_002078180.2|DSIM
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC6736957|XP_016030597.1|DSIM
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC6736742|XP_002083598.1|DSIM
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC6727422|XP_002102804.2|DSIM
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM
OG0000009	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER	LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC6736062|XP_002082963.1|DSIM
OG0000009	LOC6591389|XP_002017359.1|DPER	LOC6728414|XP_016035007.1|DSIM
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC6734157|XP_002081186.1|DSIM
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC113567423|XP_026850962.1|DPER	LOC120285283|XP_039152704.1|DSIM, LOC120285812|XP_039154361.1|DSIM, LOC120285811|XP_039154360.1|DSIM, LOC120285555|XP_039154146.1|DSIM, LOC120285552|XP_039154143.1|DSIM, LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC113567415|XP_026850950.1|DPER	LOC120285282|XP_039152699.1|DSIM
OG0000011	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER	LOC6730832|XP_016023246.1|DSIM, LOC6730831|XP_002077997.2|DSIM, LOC27207823|XP_016023441.1|DSIM, LOC27206207|XP_039149631.1|DSIM, LOC27208543|XP_016037023.1|DSIM, LOC27207879|XP_016023440.1|DSIM, LOC27208182|XP_016025194.2|DSIM, LOC6732545|XP_016025201.1|DSIM, LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM
OG0000011	LOC6591700|XP_002017271.1|DPER, LOC6599732|XP_002024837.1|DPER	LOC6737998|XP_002084813.2|DSIM
OG0000011	LOC6599733|XP_002024838.2|DPER	LOC27206230|XP_016031794.1|DSIM
OG0000011	LOC6591544|XP_002017188.1|DPER	LOC6728756|XP_002104091.1|DSIM
OG0000012	LOC6589910|XP_026840670.1|DPER	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC6589909|XP_002016518.1|DPER	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC6589908|XP_026841658.1|DPER	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC6589911|XP_026840671.1|DPER	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER	LOC6735250|XP_002082223.1|DSIM
OG0000012	LOC6589912|XP_002016521.1|DPER	LOC6735249|XP_016028575.1|DSIM
OG0000012	LOC6590586|XP_002016525.1|DPER	LOC6734131|XP_002081160.1|DSIM
OG0000012	LOC6590587|XP_002016526.1|DPER	LOC6734132|XP_016027145.1|DSIM
OG0000012	LOC6590588|XP_002016527.1|DPER	LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM
OG0000012	LOC6590215|XP_002016528.1|DPER	LOC6734135|XP_002081164.1|DSIM
OG0000012	LOC6590216|XP_002016529.1|DPER	LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC6602278|XP_002027327.1|DPER	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC113564954|XP_026840479.1|DPER	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER	LOC6729335|XP_016035977.1|DSIM
OG0000013	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000015	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER	LOC27206160|XP_016027033.1|DSIM
OG0000016	LOC6587871|XP_002013173.2|DPER	LOC6728214|XP_016034853.1|DSIM
OG0000016	LOC6593077|XP_002017890.1|DPER	LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC6587678|XP_002013954.1|DPER	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC6601585|XP_002026606.2|DPER	LOC6734815|XP_016028043.1|DSIM
OG0000016	LOC6599243|XP_002024300.1|DPER	LOC6725225|XP_016038239.1|DSIM
OG0000016	LOC6592910|XP_002018578.1|DPER	LOC6733183|XP_016026067.1|DSIM
OG0000016	LOC6587745|XP_026840230.1|DPER	LOC6727955|XP_016034553.1|DSIM
OG0000016	LOC6602189|XP_026848039.1|DPER	LOC6739089|XP_016032930.1|DSIM
OG0000017	LOC6598163|XP_026846248.1|DPER	LOC6740020|XP_002076907.2|DSIM
OG0000017	LOC6590466|XP_002016652.1|DPER	LOC6733445|XP_002080502.2|DSIM
OG0000017	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER	LOC6733173|XP_002080249.1|DSIM
OG0000017	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER	LOC6729887|XP_002105190.2|DSIM
OG0000017	LOC6592612|XP_002018160.1|DPER	LOC6735880|XP_002082790.1|DSIM
OG0000017	LOC6602127|XP_002027093.1|DPER	LOC6733175|XP_002080251.2|DSIM
OG0000017	LOC6592611|XP_002018159.1|DPER	LOC6735881|XP_002082791.1|DSIM
OG0000017	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM
OG0000018	LOC6601448|XP_002026450.1|DPER	LOC6736980|XP_002083827.1|DSIM
OG0000018	LOC6601452|XP_002026454.1|DPER	LOC6736987|XP_002083834.1|DSIM
