Orthogroup	DPER.longest_only	DBUS.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC6587537|XP_002013115.1|DPER	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC6591824|XP_026846323.1|DPER	LOC108601547|XP_017844934.2|DBUS, LOC108602371|XP_017845962.1|DBUS
OG0000008	LOC6591822|XP_002016972.1|DPER	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC6587285|XP_002013134.1|DPER, LOC113567423|XP_026850962.1|DPER	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC113567389|XP_026850894.1|DPER, LOC113565367|XP_026842919.1|DPER, LOC6603973|XP_002028920.1|DPER, LOC6587232|XP_026850916.1|DPER, LOC6587476|XP_002013129.1|DPER, LOC113567388|XP_026850893.1|DPER, LOC113567422|XP_026850961.1|DPER, LOC113567406|XP_026850934.1|DPER, LOC6587263|XP_002013118.1|DPER, LOC113567240|XP_026850210.1|DPER, LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER, LOC113567414|XP_026850949.1|DPER	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC6591544|XP_002017188.1|DPER	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC6589910|XP_026840670.1|DPER	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC6589909|XP_002016518.1|DPER	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC6589908|XP_026841658.1|DPER	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC6589911|XP_026840671.1|DPER	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER	LOC108597255|XP_017839199.1|DBUS
