Orthogroup	DPER.longest_only	DKIK.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC6598745|XP_026840088.1|DPER	LOC108085530|XP_017037652.1|DKIK
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC6594749|XP_026851250.1|DPER	LOC108085312|XP_017037357.1|DKIK
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER	LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC6592855|XP_026840797.1|DPER	LOC108086044|XP_017038352.1|DKIK
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC108070634|XP_017016690.1|DKIK
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC108073603|XP_017020784.1|DKIK
