Orthogroup	DPER.longest_only	DANA.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC26515012|XP_032305331.1|DANA
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC6589576|XP_026844127.1|DPER, LOC6591308|XP_026842081.1|DPER, LOC6595216|XP_026851124.1|DPER	LOC26514039|XP_032307416.1|DANA
OG0000000	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC6592855|XP_026840797.1|DPER	LOC26514098|XP_032306915.1|DANA
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC6595014|XP_026839995.1|DPER	LOC6502509|XP_001960943.2|DANA
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC6591788|XP_002017388.2|DPER, LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER, LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER, LOC6587947|XP_026840188.1|DPER, LOC6588042|XP_002012846.2|DPER, LOC6592618|XP_002018494.2|DPER, LOC113564925|XP_026840193.1|DPER, LOC6587712|XP_002012839.2|DPER, LOC6588022|XP_026840192.1|DPER, LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER, LOC6591954|XP_002017498.2|DPER	LOC6497530|XP_001961898.2|DANA
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC6495154|XP_001958949.2|DANA
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA
OG0000005	LOC113565366|XP_026842918.1|DPER, LOC6587310|XP_002013132.1|DPER, LOC6587387|XP_002013127.1|DPER	LOC6506069|XP_001967796.1|DANA
OG0000005	LOC6604167|XP_026842916.1|DPER	LOC116655707|XP_032309463.1|DANA
OG0000005	LOC113567412|XP_026850947.1|DPER	LOC6502041|XP_032310871.1|DANA
OG0000006	LOC113567419|XP_026850958.1|DPER	LOC6501746|XP_001967749.1|DANA
OG0000006	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC6604168|XP_002029102.2|DPER	LOC6504886|XP_001964818.1|DANA
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC6504947|XP_001964808.1|DANA, LOC6504195|XP_001967916.1|DANA, LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC6504215|XP_001965139.1|DANA
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC6507027|XP_001956797.1|DANA
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC6493536|XP_001957956.2|DANA
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC6506391|XP_001957958.1|DANA
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC6499972|XP_001953521.2|DANA
