Orthogroup	DPER.longest_only	DELE.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER	LOC108142886|XP_017122451.1|DELE
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC6595014|XP_026839995.1|DPER	LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC108147230|XP_017129111.1|DELE
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC108147831|XP_017130074.1|DELE
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC108144468|XP_017124861.1|DELE, LOC108144801|XP_017125415.1|DELE
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC108145367|XP_017126250.1|DELE
OG0000004	LOC6587537|XP_002013115.1|DPER	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC108142395|XP_017121724.1|DELE
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC6591822|XP_002016972.1|DPER	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE
OG0000009	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC6591389|XP_002017359.1|DPER	LOC108135151|XP_017111261.1|DELE
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC108137889|XP_017115317.1|DELE
OG0000010	LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER	LOC108139189|XP_017117303.1|DELE
