Orthogroup	DPER.longest_only	DMAU.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC117146038|XP_033167862.1|DMAU
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC6591389|XP_002017359.1|DPER	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
