Orthogroup	DPER.longest_only	DYAK.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC6603462|XP_002028442.1|DPER	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC6592293|XP_002018412.1|DPER	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC6536389|XP_002096971.3|DYAK, LOC26534826|XP_015049134.2|DYAK, LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC6538114|XP_002098649.1|DYAK
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC6530459|XP_002091375.1|DYAK, LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC6596552|XP_002021689.1|DPER	LOC6528128|XP_002089195.3|DYAK
OG0000006	LOC113567411|XP_026850946.1|DPER	LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC120321239|XP_039229335.1|DYAK, LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC6591822|XP_002016972.1|DPER	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC6591389|XP_002017359.1|DPER	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC113567423|XP_026850962.1|DPER	LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER	LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC113567250|XP_026850220.1|DPER	LOC120322222|XP_039233212.1|DYAK
OG0000011	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER	LOC26534881|XP_015054560.1|DYAK, LOC6525318|XP_002101154.2|DYAK, LOC120320450|XP_039227155.1|DYAK, LOC6526687|XP_002087792.2|DYAK, LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK, LOC26535503|XP_015045173.2|DYAK, LOC6529533|XP_039228709.1|DYAK, LOC6529527|XP_039228713.1|DYAK, LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC6591700|XP_002017271.1|DPER, LOC6599732|XP_002024837.1|DPER	LOC6534062|XP_002094748.1|DYAK
