Orthogroup	DPER.longest_only	DFIC.longest_only
OG0000000	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC108096481|XP_017053581.1|DFIC
OG0000000	LOC6603458|XP_002028438.2|DPER	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC6599796|XP_002024966.2|DPER	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC6594745|XP_002020397.2|DPER	LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC
OG0000000	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC
OG0000000	LOC113564899|XP_026839990.1|DPER	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC6588283|XP_026842223.1|DPER	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC113565649|XP_026844091.1|DPER	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC6587480|XP_002013644.2|DPER	LOC108097696|XP_017055657.1|DFIC
OG0000002	LOC6601614|XP_002026650.2|DPER	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC6601615|XP_026841465.1|DPER	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC6596381|XP_002021534.2|DPER	LOC108092580|XP_017047713.1|DFIC
OG0000003	LOC6591231|XP_002016677.1|DPER	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC6590819|XP_026841177.1|DPER	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC6590049|XP_002015522.1|DPER	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC6591232|XP_002016678.1|DPER	LOC108099209|XP_017058075.1|DFIC, LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC6591235|XP_002016681.1|DPER	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC6591236|XP_002016682.2|DPER	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
OG0000005	LOC113567239|XP_026850209.1|DPER	LOC108101399|XP_017061208.1|DFIC
OG0000005	LOC113566635|XP_026848953.1|DPER, LOC113567238|XP_026850208.1|DPER, LOC6604118|XP_002029057.1|DPER, LOC113567396|XP_026850913.1|DPER, LOC113567387|XP_026850892.1|DPER, LOC113567404|XP_026850932.1|DPER, LOC113567248|XP_026850218.1|DPER, LOC113565365|XP_026842917.1|DPER, LOC6587619|XP_002013137.1|DPER, LOC113567029|XP_026850041.1|DPER, LOC113567421|XP_026850960.1|DPER, LOC113565366|XP_026842918.1|DPER, LOC6587310|XP_002013132.1|DPER, LOC6587387|XP_002013127.1|DPER, LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER, LOC6587632|XP_002013116.1|DPER, LOC6604167|XP_026842916.1|DPER, LOC113567403|XP_026850931.1|DPER, LOC113567412|XP_026850947.1|DPER, LOC113567420|XP_026850959.1|DPER, LOC113567249|XP_026850219.1|DPER	LOC108094052|XP_017049981.1|DFIC
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC6595910|XP_002021056.1|DPER	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC6601482|XP_002026422.2|DPER	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC6596309|XP_002021479.1|DPER	LOC108089978|XP_017043968.1|DFIC
OG0000007	LOC6592462|XP_002017797.1|DPER	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC6596310|XP_002021480.2|DPER	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC6601214|XP_002026310.2|DPER	LOC108088950|XP_017042460.1|DFIC
OG0000007	LOC6589529|XP_002015017.1|DPER	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	LOC6601483|XP_026847920.1|DPER	LOC108093152|XP_017048588.1|DFIC
OG0000007	LOC6601458|XP_026847765.1|DPER	LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC6591826|XP_002016976.2|DPER	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC6591822|XP_002016972.1|DPER	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC6591825|XP_026846385.1|DPER	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC6591827|XP_002016977.1|DPER	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC6594636|XP_026850331.1|DPER	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC6594634|XP_002019930.1|DPER	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC6601280|XP_026841960.1|DPER	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC6591389|XP_002017359.1|DPER	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC6590982|XP_002016547.1|DPER	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC6590981|XP_002016546.2|DPER	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
