Orthogroup	DPER.longest_only	CQUI.longest_only
OG0000002	LOC6595741|XP_026845259.1|DPER	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000002	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI
OG0000006	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER, LOC6604168|XP_002029102.2|DPER, LOC113567418|XP_026850957.1|DPER	LOC6045306|XP_001862695.1|CQUI
OG0000006	LOC113567402|XP_026850930.1|DPER	LOC6045329|XP_001862718.1|CQUI, LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC6595910|XP_002021056.1|DPER, LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER, LOC6601482|XP_002026422.2|DPER, LOC6596309|XP_002021479.1|DPER, LOC6592462|XP_002017797.1|DPER, LOC6595007|XP_002020464.1|DPER, LOC6595006|XP_002020463.1|DPER, LOC6595005|XP_002020462.1|DPER, LOC6596310|XP_002021480.2|DPER, LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER, LOC6601483|XP_026847920.1|DPER, LOC6601458|XP_026847765.1|DPER	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC6594328|XP_026850351.1|DPER	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC6601897|XP_026849381.1|DPER	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC6601898|XP_002026947.1|DPER	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC6595506|XP_002020611.1|DPER	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC113566715|XP_026849382.1|DPER	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC6594636|XP_026850331.1|DPER, LOC6594634|XP_002019930.1|DPER, LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER, LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER, LOC6601280|XP_026841960.1|DPER, LOC6591389|XP_002017359.1|DPER, LOC6590982|XP_002016547.1|DPER, LOC6590981|XP_002016546.2|DPER	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC6588556|XP_002013936.1|DPER, LOC113565368|XP_026842920.1|DPER, LOC113564875|XP_002013123.1|DPER, LOC6604121|XP_026850045.1|DPER, LOC113567031|XP_026850044.1|DPER, LOC6603834|XP_002028795.1|DPER, LOC113567405|XP_026850933.1|DPER, LOC6587285|XP_002013134.1|DPER, LOC113567423|XP_026850962.1|DPER, LOC113567389|XP_026850894.1|DPER, LOC113565367|XP_026842919.1|DPER, LOC6603973|XP_002028920.1|DPER, LOC6587232|XP_026850916.1|DPER, LOC6587476|XP_002013129.1|DPER, LOC113567388|XP_026850893.1|DPER, LOC113567422|XP_026850961.1|DPER, LOC113567406|XP_026850934.1|DPER, LOC6587263|XP_002013118.1|DPER, LOC113567240|XP_026850210.1|DPER, LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER, LOC113567414|XP_026850949.1|DPER	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC113567250|XP_026850220.1|DPER	LOC6048215|XP_038112551.1|CQUI
OG0000011	LOC113565948|XP_026845158.1|DPER	LOC6034029|XP_038120227.1|CQUI
OG0000012	LOC6589910|XP_026840670.1|DPER, LOC6589909|XP_002016518.1|DPER, LOC6589908|XP_026841658.1|DPER, LOC6589911|XP_026840671.1|DPER, LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC6600889|XP_026840828.1|DPER	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC6598353|XP_002023428.2|DPER	LOC6034961|XP_038118728.1|CQUI
