Orthogroup	CQUI.longest_only	BCOP.longest_only
OG0000001	LOC119770310|XP_038120887.1|CQUI	LOC119084781|XP_037050738.1|BCOP, LOC119083939|XP_037049649.1|BCOP
OG0000001	LOC119769711|XP_038119095.1|CQUI	LOC119082907|XP_037048458.1|BCOP, LOC119083964|XP_037049665.1|BCOP, LOC119075285|XP_037037567.1|BCOP
OG0000001	LOC119769172|XP_038117006.1|CQUI, LOC119770284|XP_038120806.1|CQUI, LOC119767772|XP_038113157.1|CQUI, LOC119766223|XP_038106590.1|CQUI, LOC119769035|XP_038116846.1|CQUI, LOC119768980|XP_038116774.1|CQUI, LOC119766470|XP_038106956.1|CQUI, LOC119766322|XP_038106731.1|CQUI, LOC119766311|XP_038106708.1|CQUI, LOC119766331|XP_038106740.1|CQUI, LOC119769278|XP_038117171.1|CQUI, LOC119769111|XP_038116940.1|CQUI, LOC119769290|XP_038117195.1|CQUI, LOC119769016|XP_038116822.1|CQUI	LOC119068942|XP_037028702.1|BCOP
OG0000001	LOC119766274|XP_038106647.1|CQUI, LOC119770072|XP_038120200.1|CQUI, LOC119769081|XP_038116908.1|CQUI, LOC119769227|XP_038117081.1|CQUI, LOC119769183|XP_038117016.1|CQUI, LOC119766452|XP_038106937.1|CQUI, LOC119766021|XP_038106282.1|CQUI, LOC119766137|XP_038106464.1|CQUI, LOC119769333|XP_038117277.1|CQUI, LOC119766281|XP_038106656.1|CQUI, LOC119765939|XP_038106148.1|CQUI, LOC119769072|XP_038116898.1|CQUI	LOC119084767|XP_037050728.1|BCOP, LOC119071419|XP_037032191.1|BCOP, LOC119079853|XP_037043815.1|BCOP, LOC119083951|XP_037049655.1|BCOP, LOC119066006|XP_037024118.1|BCOP, LOC119082920|XP_037048471.1|BCOP, LOC119083910|XP_037049617.1|BCOP, LOC119066058|XP_037024178.1|BCOP, LOC119083512|XP_037049126.1|BCOP, LOC119081102|XP_037045737.1|BCOP, LOC119081228|XP_037045848.1|BCOP, LOC119076010|XP_037038490.1|BCOP
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC119073001|XP_037034220.1|BCOP
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI, LOC6031054|XP_038118774.1|CQUI, LOC6031056|XP_001841905.2|CQUI, LOC6031055|XP_038118771.1|CQUI, LOC119770491|XP_038121412.1|CQUI, LOC6038317|XP_001848136.2|CQUI	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC6050719|XP_001867281.2|CQUI, LOC6051441|XP_038112246.1|CQUI, LOC6050716|XP_038110657.1|CQUI, LOC6037852|XP_038108088.1|CQUI, LOC6050718|XP_001867280.2|CQUI	LOC119068573|XP_037028113.1|BCOP
OG0000003	LOC6054221|XP_038110656.1|CQUI, LOC6050707|XP_001867275.2|CQUI, LOC119766556|XP_038107240.1|CQUI, LOC6034501|XP_001844806.2|CQUI, LOC6034518|XP_001844820.2|CQUI, LOC6034534|XP_001844834.2|CQUI, LOC6034520|XP_001844821.2|CQUI, LOC6034522|XP_038114383.1|CQUI, LOC6034521|XP_001844822.2|CQUI	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP
OG0000003	LOC6050720|XP_001867282.2|CQUI	LOC119078496|XP_037041942.1|BCOP
OG0000003	LOC6037490|XP_001847400.2|CQUI, LOC6037494|XP_001847404.2|CQUI	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP
OG0000003	LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI	LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP
