Orthogroup	CQUI.longest_only	DNOV.longest_only
OG0000001	LOC119770249|XP_038120685.1|CQUI	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC115759342|XP_030556121.1|DNOV
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC115761994|XP_030559922.1|DNOV, LOC115770582|XP_030571767.1|DNOV, LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC115770611|XP_030571807.1|DNOV
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC115771065|XP_030572477.1|DNOV, LOC115771063|XP_030572475.1|DNOV, LOC115767673|XP_030567825.1|DNOV, LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV, LOC115760652|XP_030557979.1|DNOV, LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV, LOC115767684|XP_030567836.1|DNOV, LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV, LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC115762865|XP_030561099.1|DNOV
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC115763759|XP_030562333.1|DNOV, LOC115763738|XP_030562299.1|DNOV, LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV, LOC115765543|XP_030565028.1|DNOV, LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC115770892|XP_030572188.1|DNOV, LOC115770619|XP_030571815.1|DNOV, LOC115761843|XP_030559684.1|DNOV, LOC115770901|XP_030572196.1|DNOV, LOC115761856|XP_030559703.1|DNOV, LOC115761857|XP_030559704.1|DNOV, LOC115757743|XP_030553989.1|DNOV, LOC115761844|XP_030559686.1|DNOV, LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV, LOC115761999|XP_030559927.1|DNOV, LOC115770900|XP_030572194.1|DNOV, LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV, LOC115761848|XP_030559690.1|DNOV, LOC115770577|XP_030571760.1|DNOV, LOC115762000|XP_030559928.1|DNOV, LOC115770596|XP_030571794.1|DNOV
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC115770584|XP_030571769.1|DNOV
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC115759945|XP_030556945.1|DNOV
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC115760603|XP_030557904.1|DNOV, LOC115760694|XP_030558018.1|DNOV, LOC115760695|XP_030558019.1|DNOV, LOC115760604|XP_030557906.1|DNOV, LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC115761668|XP_030559377.1|DNOV
