Orthogroup	CQUI.longest_only	DSER.longest_only
OG0000001	LOC119766512|XP_038107029.1|CQUI, LOC119766149|XP_038106477.1|CQUI, LOC119769328|XP_038117267.1|CQUI, LOC119769161|XP_038116992.1|CQUI, LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI, LOC119769104|XP_038116932.1|CQUI, LOC119766097|XP_038106417.1|CQUI, LOC119769107|XP_038116936.1|CQUI, LOC119766391|XP_038106832.1|CQUI, LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI, LOC119770193|XP_038120567.1|CQUI, LOC119769976|XP_038119868.1|CQUI, LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI, LOC119766143|XP_038106470.1|CQUI, LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI, LOC119769364|XP_038117339.1|CQUI, LOC119769063|XP_038116884.1|CQUI, LOC119770945|XP_038122397.1|CQUI, LOC119769219|XP_038117071.1|CQUI, LOC119766213|XP_038106576.1|CQUI, LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI, LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI, LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI, LOC119769896|XP_038119619.1|CQUI	LOC110187736|XP_020812852.1|DSER
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000005	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI	LOC110182167|XP_020805828.1|DSER
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER
OG0000006	LOC6045277|XP_001862666.1|CQUI	LOC110182418|XP_020806113.1|DSER
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC110181334|XP_020804711.1|DSER
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC110184727|XP_020809014.1|DSER, LOC110184726|XP_020809013.1|DSER, LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER, LOC110182363|XP_020806064.1|DSER, LOC110189366|XP_020815075.1|DSER, LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER, LOC110182364|XP_020806065.1|DSER, LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER, LOC110184731|XP_020809018.1|DSER, LOC110184732|XP_020809019.1|DSER
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC110183613|XP_020807591.1|DSER
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC110188739|XP_020814232.1|DSER, LOC110188430|XP_020813815.1|DSER, LOC110186309|XP_020811090.1|DSER, LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER, LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC110182136|XP_020805805.1|DSER, LOC110180708|XP_020804048.1|DSER, LOC110180685|XP_020804029.1|DSER, LOC110183811|XP_020807822.1|DSER, LOC110182163|XP_020805825.1|DSER, LOC110182420|XP_020806116.1|DSER, LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER, LOC110182421|XP_020806117.1|DSER, LOC110180707|XP_020804047.1|DSER, LOC110180709|XP_020804049.1|DSER, LOC110181329|XP_020804707.1|DSER, LOC110182137|XP_020805806.1|DSER, LOC110180684|XP_020804028.1|DSER, LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER
