Orthogroup	CQUI.longest_only	DYAK.longest_only
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC6527104|XP_002088197.3|DYAK
OG0000005	LOC119767184|XP_038111057.1|CQUI, LOC6048601|XP_001865496.2|CQUI, LOC6045278|XP_001862667.1|CQUI, LOC6045266|XP_001862657.1|CQUI, LOC6045300|XP_001862689.1|CQUI, LOC119770425|XP_038121228.1|CQUI, LOC119770423|XP_038121218.1|CQUI	LOC6540448|XP_002087255.2|DYAK
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC6540563|XP_002087349.3|DYAK, LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK, LOC6533142|XP_002093868.1|DYAK, LOC6533143|XP_002093869.1|DYAK, LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK, LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC6532928|XP_002093664.1|DYAK
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC6535723|XP_002096349.3|DYAK, LOC6535721|XP_002096347.1|DYAK, LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK, LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK, LOC6532044|XP_002092821.1|DYAK, LOC6536768|XP_002097339.1|DYAK, LOC6530109|XP_002091055.1|DYAK, LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC6054618|XP_038112552.1|CQUI	LOC120322211|XP_039233202.1|DYAK, LOC120321201|XP_039229120.1|DYAK, LOC120322212|XP_039233203.1|DYAK, LOC120322217|XP_039233207.1|DYAK, LOC120322223|XP_039233213.1|DYAK, LOC120322215|XP_039233206.1|DYAK, LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK, LOC6537287|XP_002097845.1|DYAK, LOC6539220|XP_002086120.1|DYAK, LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC6048215|XP_038112551.1|CQUI	LOC120322222|XP_039233212.1|DYAK
OG0000010	LOC6048602|XP_038111058.1|CQUI	LOC120322221|XP_039233211.1|DYAK
OG0000012	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI	LOC6530957|XP_002091795.1|DYAK, LOC6530958|XP_002091796.1|DYAK, LOC6530959|XP_015051811.1|DYAK, LOC6530956|XP_002091794.1|DYAK, LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK, LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK, LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC6035930|XP_001846040.1|CQUI	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC6034961|XP_038118728.1|CQUI	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC6041235|XP_001850527.1|CQUI	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC6038413|XP_001848218.2|CQUI	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC6047700|XP_038117441.1|CQUI	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC6047923|XP_001864910.2|CQUI	LOC6538786|XP_002099299.1|DYAK, LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000016	LOC6037346|XP_001847269.1|CQUI	LOC6536965|XP_002097534.1|DYAK, LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC6032259|XP_001842896.1|CQUI	LOC6536862|XP_002097431.1|DYAK
